Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
LOXL2,LOXL2,unreviewed,Homo sapiens (Human),E5RFY0
ELAC2,ELAC2,unreviewed,Homo sapiens (Human),V9GYU5
SCFD1,SCFD1,unreviewed,Homo sapiens (Human),G3V5F3
GALNT1,GALNT1,reviewed,Homo sapiens (Human),Q10472
Txnrd2,Txnrd2,unreviewed,Rattus norvegicus (Rat),F1M6X5
UCHL5,UCHL5,unreviewed,Homo sapiens (Human),Q5LJB0
COMT,COMT,reviewed,Homo sapiens (Human),P21964
Copb2,Copb2,reviewed,Rattus norvegicus (Rat),O35142
COPA,COPA,unreviewed,Homo sapiens (Human),A0A3B3IU78
IGHA2,IGHA2,reviewed,Homo sapiens (Human),P01877
HLA-DPA1;HLA-DP1A;HLASB,HLA-DPA1,reviewed,Homo sapiens (Human),P20036
NCK1,NCK1,unreviewed,Homo sapiens (Human),H7C5C7
SPAG5,SPAG5,unreviewed,Homo sapiens (Human),J3QS12
SEC22A,SEC22A,unreviewed,Homo sapiens (Human),F8WAU7
RALB,RALB,unreviewed,Homo sapiens (Human),C9JYR1
Tubb5,Tubb5,reviewed,Rattus norvegicus (Rat),P69897
TUBB8,TUBB8,reviewed,Homo sapiens (Human),Q3ZCM7
MPHOSPH6;hCG_38475,MPHOSPH6,unreviewed,Homo sapiens (Human),H3BNK8
MTRR,MTRR,unreviewed,Homo sapiens (Human),D6RF21
Blmh;LOC100911400,Blmh,unreviewed,Rattus norvegicus (Rat),A1A5L1
Cd14,Cd14,reviewed,Rattus norvegicus (Rat),Q63691
LEMD2,LEMD2,unreviewed,Homo sapiens (Human),H0Y9B7
RIPPLY2;C6orf159,RIPPLY2,reviewed,Homo sapiens (Human),Q5TAB7
COPB2,COPB2,unreviewed,Homo sapiens (Human),H0Y938
Tpm3;Tpm3_v1;rCG_62531,Tpm3,unreviewed,Rattus norvegicus (Rat),A0A140TAF0
CSTF2,CSTF2,unreviewed,Homo sapiens (Human),A0A0A0MT56
FKBP7;FKBP23;UNQ670/PRO1304,FKBP7,reviewed,Homo sapiens (Human),Q9Y680
CBX5,CBX5,unreviewed,Homo sapiens (Human),F8VNY3
HLA-DPA1,HLA-DPA1,unreviewed,Homo sapiens (Human),A0A140T909
GLB1,GLB1,unreviewed,Homo sapiens (Human),F8WF40
Atp5mf;Atp5j2,Atp5mf,reviewed,Rattus norvegicus (Rat),D3ZAF6
PHRF1,PHRF1,unreviewed,Homo sapiens (Human),A0A0J9YWD5
TIMM21;C18orf55;TIM21;HSPC154,TIMM21,reviewed,Homo sapiens (Human),Q9BVV7
CKS1B;CKS1;PNAS-143;PNAS-16,CKS1B,reviewed,Homo sapiens (Human),P61024
GTF3C3,GTF3C3,reviewed,Homo sapiens (Human),Q9Y5Q9
SERPINF2,SERPINF2,unreviewed,Homo sapiens (Human),A0A0J9YY65
APOA2,APOA2,unreviewed,Homo sapiens (Human),V9GYC1
RBM6,RBM6,unreviewed,Homo sapiens (Human),E9PGM9
NVL,NVL,unreviewed,Homo sapiens (Human),E9PH71
ELP2,ELP2,unreviewed,Homo sapiens (Human),F5GWY6
DPYSL3,DPYSL3,unreviewed,Homo sapiens (Human),H0YBT4
OTUB1;OTB1;OTU1;HSPC263,OTUB1,reviewed,Homo sapiens (Human),Q96FW1
EPG5,EPG5,unreviewed,Homo sapiens (Human),K7ENS1
ZC3H18,ZC3H18,unreviewed,Homo sapiens (Human),H3BRH3
MAP3K4,MAP3K4,unreviewed,Homo sapiens (Human),J3KNB8
CLUAP1,CLUAP1,unreviewed,Homo sapiens (Human),J3KNW5
HLA-F,HLA-F,unreviewed,Homo sapiens (Human),D0EV57
INTS9,INTS9,unreviewed,Homo sapiens (Human),H0YBH8
Fndc1,Fndc1,unreviewed,Rattus norvegicus (Rat),A0A0G2K4G5
ODF3B,ODF3B,unreviewed,Homo sapiens (Human),B5MC17
PTK2,PTK2,unreviewed,Homo sapiens (Human),H0YBZ1
CAMK4,CAMK4,unreviewed,Homo sapiens (Human),D6REY7
AP5Z1,AP5Z1,unreviewed,Homo sapiens (Human),A0A3B3ISJ0
ARMCX2,ARMCX2,unreviewed,Homo sapiens (Human),A0A1B0GXK8
UGDH,UGDH,unreviewed,Homo sapiens (Human),E7ER95
COMMD4,COMMD4,reviewed,Homo sapiens (Human),Q9H0A8
LOC689395;AABR07071440.1,LOC689395,unreviewed,Rattus norvegicus (Rat),F1M556
HNRNPH1,HNRNPH1,unreviewed,Homo sapiens (Human),H0YAQ2
PHKB,PHKB,unreviewed,Homo sapiens (Human),H3BQ89
FNDC3A,FNDC3A,unreviewed,Homo sapiens (Human),A0A087X1M6
IRAK4,IRAK4,unreviewed,Homo sapiens (Human),F8VVZ1
MEF2C,MEF2C,unreviewed,Homo sapiens (Human),D6RC63
QPCT,QPCT,unreviewed,Homo sapiens (Human),B5MCZ9
PCDHGA5,PCDHGA5,reviewed,Homo sapiens (Human),Q9Y5G8
Ctsz;Ctsy,Ctsz,reviewed,Rattus norvegicus (Rat),Q9R1T3
PDCD10,PDCD10,unreviewed,Homo sapiens (Human),F8WDF3
PQBP1;NPW38;JM26,PQBP1,reviewed,Homo sapiens (Human),O60828
Epc2;rCG_37744,Epc2,unreviewed,Rattus norvegicus (Rat),D4ADG5
MSH5,MSH5,unreviewed,Homo sapiens (Human),A0A140T9A7
NME1,NME1,unreviewed,Homo sapiens (Human),E5RHP0
SYNJ2BP-COX16,SYNJ2BP-COX16,unreviewed,Homo sapiens (Human),A0A087WYV9
TMA7;CCDC72;HSPC016;HSPC330,TMA7,reviewed,Homo sapiens (Human),Q9Y2S6
PLG,PLG,reviewed,Homo sapiens (Human),P00747
KTN1,KTN1,unreviewed,Homo sapiens (Human),H0YJV5
PIK3R2,PIK3R2,reviewed,Homo sapiens (Human),O00459
TBL1XR1,TBL1XR1,unreviewed,Homo sapiens (Human),C9J7E1
EFNB1;EFL3;EPLG2;LERK2,EFNB1,reviewed,Homo sapiens (Human),P98172
PTER,PTER,unreviewed,Homo sapiens (Human),A0A0A0MSI3
DNM1,DNM1,unreviewed,Homo sapiens (Human),A0A0D9SFP1
LOC100360846;rCG_63409,LOC100360846,unreviewed,Rattus norvegicus (Rat),A0A0G2JSL0
CUL2,CUL2,unreviewed,Homo sapiens (Human),Q5T2B7
Timm10;Tim10,Timm10,reviewed,Rattus norvegicus (Rat),P62074
AFAP1;AFAP,AFAP1,reviewed,Homo sapiens (Human),Q8N556
RPS6KA1,RPS6KA1,unreviewed,Homo sapiens (Human),E9PMM7
MYO6,MYO6,unreviewed,Homo sapiens (Human),A0A590UJ75
MEA1,MEA1,unreviewed,Homo sapiens (Human),A0A2R8Y7W8
Rnf7,Rnf7,unreviewed,Rattus norvegicus (Rat),D3Z8P1
PIK3CB,PIK3CB,unreviewed,Homo sapiens (Human),H0Y871
NOLC1,NOLC1,unreviewed,Homo sapiens (Human),S4R402
CYRIB,CYRIB,unreviewed,Homo sapiens (Human),E5RFS4
SNAP23,SNAP23,unreviewed,Homo sapiens (Human),H3BV99
STAU2,STAU2,unreviewed,Homo sapiens (Human),E5RGT3
TARDBP,TARDBP,unreviewed,Homo sapiens (Human),A0A087X260
NAP1L1,NAP1L1,unreviewed,Homo sapiens (Human),F8VXI6
GATAD2B,GATAD2B,unreviewed,Homo sapiens (Human),A0A0U1RR30
SLC12A7,SLC12A7,unreviewed,Homo sapiens (Human),A0A0G2JQE3
PIGT,PIGT,unreviewed,Homo sapiens (Human),A0A1W2PP98
PDE6D,PDE6D,unreviewed,Homo sapiens (Human),C9IZ52
PRKCSH,PRKCSH,unreviewed,Homo sapiens (Human),K7EKX1
TULP3,TULP3,unreviewed,Homo sapiens (Human),F5H7B9
WDR45,WDR45,unreviewed,Homo sapiens (Human),C9JE01
CAPS;hCG_23051,CAPS,unreviewed,Homo sapiens (Human),A0A499FJ41
Nucb2;Nefa,Nucb2,reviewed,Rattus norvegicus (Rat),Q9JI85
ARL1,ARL1,unreviewed,Homo sapiens (Human),B4DZG7
RHBDD1,RHBDD1,unreviewed,Homo sapiens (Human),C9J1R4
UBE2D3,UBE2D3,unreviewed,Homo sapiens (Human),D6R980
Eea1,Eea1,unreviewed,Rattus norvegicus (Rat),F1LUA1
Pir,Pir,reviewed,Rattus norvegicus (Rat),Q5M827
RRM2,RRM2,unreviewed,Homo sapiens (Human),A0A286YFD6
ATP5MG;ATP5L,ATP5MG,reviewed,Homo sapiens (Human),O75964
TFPI2,TFPI2,unreviewed,Homo sapiens (Human),A0A3B3ISY1
ZC3H7A,ZC3H7A,unreviewed,Homo sapiens (Human),I3L323
TOP3B,TOP3B,unreviewed,Homo sapiens (Human),C9JT00
PYCR2,PYCR2,unreviewed,Homo sapiens (Human),A0A087WTV6
MGAT4B,MGAT4B,unreviewed,Homo sapiens (Human),H0YC11
SCRN3,SCRN3,unreviewed,Homo sapiens (Human),F8WBX0
STAT6,STAT6,unreviewed,Homo sapiens (Human),G3V2M3
TACC1;KIAA1103,TACC1,reviewed,Homo sapiens (Human),O75410
WDR36,WDR36,reviewed,Homo sapiens (Human),Q8NI36
Pck2,Pck2,unreviewed,Rattus norvegicus (Rat),F1LQJ7
DIRAS2,DIRAS2,reviewed,Homo sapiens (Human),Q96HU8
Rpl37a-ps1,Rpl37a-ps1,reviewed,Rattus norvegicus (Rat),P61515
CARD6,CARD6,reviewed,Homo sapiens (Human),Q9BX69
Grk2;Adrbk1,Grk2,unreviewed,Rattus norvegicus (Rat),F1LMA4
CPA4,CPA4,unreviewed,Homo sapiens (Human),C9J6N7
GPR89B;GPHRB;GPR89C;HSPC201,GPR89B,reviewed,Homo sapiens (Human),P0CG08
COPS8;CSN8,COPS8,reviewed,Homo sapiens (Human),Q99627
PIN1,PIN1,unreviewed,Homo sapiens (Human),K7EMU7
APOL1,APOL1,unreviewed,Homo sapiens (Human),B1AH94
RER1,RER1,unreviewed,Homo sapiens (Human),A0A0A0MR06
GAK,GAK,unreviewed,Homo sapiens (Human),H0YA39
SBDS,SBDS,unreviewed,Homo sapiens (Human),F8WE72
ANK2,ANK2,unreviewed,Homo sapiens (Human),H0Y931
NRBP1,NRBP1,unreviewed,Homo sapiens (Human),C9JDW7
CAPN1,CAPN1,unreviewed,Homo sapiens (Human),E9PLX0
NCALD,NCALD,unreviewed,Homo sapiens (Human),E5RFL9
OXA1L,OXA1L,unreviewed,Homo sapiens (Human),J3KNA0
MBD3,MBD3,unreviewed,Homo sapiens (Human),A0A087WZ12
Ublcp1,Ublcp1,reviewed,Rattus norvegicus (Rat),Q5FWT7
SUGP1;SF4,SUGP1,reviewed,Homo sapiens (Human),Q8IWZ8
DPP9,DPP9,unreviewed,Homo sapiens (Human),M0R162
Ddost,Ddost,reviewed,Rattus norvegicus (Rat),Q641Y0
TOR1AIP2;IFRG15;LULL1,TOR1AIP2,reviewed,Homo sapiens (Human),Q8NFQ8
MIX23;CCDC58,MIX23,reviewed,Homo sapiens (Human),Q4VC31
KTN1,KTN1,unreviewed,Homo sapiens (Human),H0YJZ8
HP1BP3,HP1BP3,unreviewed,Homo sapiens (Human),B0QZK9
ZNF334;hCG_40020,ZNF334,unreviewed,Homo sapiens (Human),A0A087X1P4
ERCC5;ERCM2;XPG;XPGC,ERCC5,reviewed,Homo sapiens (Human),P28715
CARNMT1,CARNMT1,unreviewed,Homo sapiens (Human),Q5T8V1
ZFYVE19,ZFYVE19,unreviewed,Homo sapiens (Human),H3BRF9
RRM1,RRM1,unreviewed,Homo sapiens (Human),H0YCY7
EIF3M,EIF3M,unreviewed,Homo sapiens (Human),H0YCQ8
PTPRC,PTPRC,unreviewed,Homo sapiens (Human),E9PKH0
NUP43,NUP43,unreviewed,Homo sapiens (Human),B4E301
PTPN6,PTPN6,unreviewed,Homo sapiens (Human),F5GY79
USP15,USP15,unreviewed,Homo sapiens (Human),H0YI26
UBE2D4,UBE2D4,unreviewed,Homo sapiens (Human),C9J9H9
ACADVL,ACADVL,unreviewed,Homo sapiens (Human),J3KS89
SMYD5,SMYD5,unreviewed,Homo sapiens (Human),C9IYN9
HLA-F,HLA-F,unreviewed,Homo sapiens (Human),A0A140T9J8
ACOT1,ACOT1,unreviewed,Homo sapiens (Human),G3V4F2
DIS3,DIS3,unreviewed,Homo sapiens (Human),F2Z2C0
SLC1A2,SLC1A2,unreviewed,Homo sapiens (Human),A0A2R8Y4W1
Cd163,Cd163,unreviewed,Rattus norvegicus (Rat),D3Z9U2
METTL7A,METTL7A,unreviewed,Homo sapiens (Human),H0YI09
MAEA;EMP;HLC10;PIG5,MAEA,reviewed,Homo sapiens (Human),Q7L5Y9
GNL1;HSR1,GNL1,reviewed,Homo sapiens (Human),P36915
RASSF4,RASSF4,unreviewed,Homo sapiens (Human),V9GYK1
FAM107B,FAM107B,unreviewed,Homo sapiens (Human),C9JYP1
BBS9,BBS9,unreviewed,Homo sapiens (Human),A0A5F9ZHE7
C1galt1,C1galt1,reviewed,Rattus norvegicus (Rat),Q9JJ05
PRCP,PRCP,unreviewed,Homo sapiens (Human),E9PL85
B4galt3,B4galt3,reviewed,Rattus norvegicus (Rat),Q6P768
Rplp0;Arbp,Rplp0,reviewed,Rattus norvegicus (Rat),P19945
PPM1B,PPM1B,unreviewed,Homo sapiens (Human),B8ZZF0
OCRL,OCRL,unreviewed,Homo sapiens (Human),A0A2R8YG38
TERF2,TERF2,unreviewed,Homo sapiens (Human),J3KSZ6
TXNRD2;KIAA1652;TRXR2,TXNRD2,reviewed,Homo sapiens (Human),Q9NNW7
BAZ1A;ACF1;WCRF180;HSPC317,BAZ1A,reviewed,Homo sapiens (Human),Q9NRL2
ACOX2,ACOX2,reviewed,Homo sapiens (Human),Q99424
Hp;Ba1-647,Hp,reviewed,Rattus norvegicus (Rat),P06866
PTPA,PTPA,unreviewed,Homo sapiens (Human),A6PVN8
LASP1,LASP1,unreviewed,Homo sapiens (Human),J3KSN1
APMAP,APMAP,unreviewed,Homo sapiens (Human),H0Y512
ZC3H4;C19orf7;KIAA1064,ZC3H4,reviewed,Homo sapiens (Human),Q9UPT8
IDH3A,IDH3A,unreviewed,Homo sapiens (Human),H0YMU3
ATP5MC3;ATP5G3,ATP5MC3,reviewed,Homo sapiens (Human),P48201
Hbb-b1;0;beta-1;globin;Glna1;LOC103694855,Hbb-b1,unreviewed,Rattus norvegicus (Rat),Q62669
IGHV1-69D,IGHV1-69D,reviewed,Homo sapiens (Human),A0A0B4J2H0
HMGCS1;HMGCS,HMGCS1,reviewed,Homo sapiens (Human),Q01581
ACOT8,ACOT8,unreviewed,Homo sapiens (Human),A0A494C0N6
FAM162A,FAM162A,unreviewed,Homo sapiens (Human),F8W7Q4
Clcn7,Clcn7,reviewed,Rattus norvegicus (Rat),P51799
Pggt1b,Pggt1b,reviewed,Rattus norvegicus (Rat),P53610
AMD1;AMD,AMD1,reviewed,Homo sapiens (Human),P17707
WDR33,WDR33,unreviewed,Homo sapiens (Human),B9A053
FHOD1,FHOD1,unreviewed,Homo sapiens (Human),J3KTH7
RBM6,RBM6,unreviewed,Homo sapiens (Human),F8WF63
SUCLA2,SUCLA2,unreviewed,Homo sapiens (Human),A0A2R8Y6E6
IRS2,IRS2,reviewed,Homo sapiens (Human),Q9Y4H2
DNAJC13;KIAA0678;RME8,DNAJC13,reviewed,Homo sapiens (Human),O75165
NCEH1,NCEH1,unreviewed,Homo sapiens (Human),H7C046
SRRT,SRRT,unreviewed,Homo sapiens (Human),A0A0A0MSP6
RNF114,RNF114,unreviewed,Homo sapiens (Human),A0A096LP02
POLR2J2,POLR2J2,reviewed,Homo sapiens (Human),Q9GZM3
RAB34,RAB34,unreviewed,Homo sapiens (Human),V9GY61
CALCOCO2,CALCOCO2,unreviewed,Homo sapiens (Human),D6REB0
CNNM4;ACDP4;KIAA1592,CNNM4,reviewed,Homo sapiens (Human),Q6P4Q7
ZDHHC8;KIAA1292;ZDHHCL1;ZNF378,ZDHHC8,reviewed,Homo sapiens (Human),Q9ULC8
PTK2B;FAK2;PYK2;RAFTK,PTK2B,reviewed,Homo sapiens (Human),Q14289
NDUFV1;UQOR1,NDUFV1,reviewed,Homo sapiens (Human),P49821
LTF;GIG12;LF,LTF,reviewed,Homo sapiens (Human),P02788
ATP6AP2,ATP6AP2,unreviewed,Homo sapiens (Human),A0A1B0GVC7
PAWR,PAWR,unreviewed,Homo sapiens (Human),A0A0B4J260
SP110,SP110,unreviewed,Homo sapiens (Human),E7EM70
Gyg1,Gyg1,unreviewed,Rattus norvegicus (Rat),F8WFR6
GPX7;GPX6;UNQ469/PRO828,GPX7,reviewed,Homo sapiens (Human),Q96SL4
VEZF1;DB1;ZNF161,VEZF1,reviewed,Homo sapiens (Human),Q14119
SEC23B,SEC23B,unreviewed,Homo sapiens (Human),A0A2R8YFH5
QKI,QKI,unreviewed,Homo sapiens (Human),H0YG47
PEX6;PXAAA1,PEX6,reviewed,Homo sapiens (Human),Q13608
CTDP1,CTDP1,unreviewed,Homo sapiens (Human),A0A0J9YWB6
Cdk1;Cdc2;Cdc2a;Cdkn1,Cdk1,reviewed,Rattus norvegicus (Rat),P39951
PIN1,PIN1,reviewed,Homo sapiens (Human),Q13526
Rab3ip,Rab3ip,unreviewed,Rattus norvegicus (Rat),A0A0G2K1B4
MT1G;MT1K;MT1M,MT1G,reviewed,Homo sapiens (Human),P13640
FGFR1,FGFR1,unreviewed,Homo sapiens (Human),E9PQ40
SHBG,SHBG,unreviewed,Homo sapiens (Human),A0A0C4DGN2
LRRC17;P37NB;UNQ3076/PRO9909,LRRC17,reviewed,Homo sapiens (Human),Q8N6Y2
CRADD,CRADD,unreviewed,Homo sapiens (Human),F5H7C2
WDR6,WDR6,unreviewed,Homo sapiens (Human),Q6PKC6
COX7A2L,COX7A2L,unreviewed,Homo sapiens (Human),E5RFH8
CLEC2L,CLEC2L,reviewed,Homo sapiens (Human),P0C7M8
GDF15,GDF15,unreviewed,Homo sapiens (Human),A0A0A0MTT8
Tln2,Tln2,unreviewed,Rattus norvegicus (Rat),D3ZE09
RHCE,RHCE,unreviewed,Homo sapiens (Human),E7EU00
EIF3E,EIF3E,unreviewed,Homo sapiens (Human),E5RJ25
MKNK1,MKNK1,unreviewed,Homo sapiens (Human),E9PIA0
UQCC1,UQCC1,unreviewed,Homo sapiens (Human),B1AKV4
SACS,SACS,unreviewed,Homo sapiens (Human),H0Y6M8
GSN,GSN,unreviewed,Homo sapiens (Human),A0A0U1RQL8
PIP5K1A,PIP5K1A,unreviewed,Homo sapiens (Human),A6PW57
ATP6V1D,ATP6V1D,unreviewed,Homo sapiens (Human),G3V2V6
PTK7;CCK4,PTK7,unreviewed,Homo sapiens (Human),Q86X91
BET1,BET1,unreviewed,Homo sapiens (Human),A0A3B3IU16
RANBP3,RANBP3,unreviewed,Homo sapiens (Human),K7EMH9
COA3,COA3,unreviewed,Homo sapiens (Human),K7EPV0
MAP1B,MAP1B,unreviewed,Homo sapiens (Human),D6RCL2
TRAF2;TRAP3,TRAF2,reviewed,Homo sapiens (Human),Q12933
ACYP2,ACYP2,unreviewed,Homo sapiens (Human),E9PF46
PPP2R1B,PPP2R1B,reviewed,Homo sapiens (Human),P30154
Grwd1,Grwd1,unreviewed,Rattus norvegicus (Rat),A0A140TAH3
Dpp7;Dpp2,Dpp7,reviewed,Rattus norvegicus (Rat),Q9EPB1
AKT2,AKT2,unreviewed,Homo sapiens (Human),C9JIF6
Aldh9a1;rCG_46552,Aldh9a1,unreviewed,Rattus norvegicus (Rat),A0A0G2JSI1
IRAK4,IRAK4,unreviewed,Homo sapiens (Human),F8VR40
ATG3,ATG3,unreviewed,Homo sapiens (Human),C9JNW8
EML1,EML1,unreviewed,Homo sapiens (Human),G3V4H6
STK4,STK4,unreviewed,Homo sapiens (Human),A0A087WVN8
MCU,MCU,unreviewed,Homo sapiens (Human),S4R3W8
SHKBP1,SHKBP1,unreviewed,Homo sapiens (Human),M0R204
EIF4G3,EIF4G3,unreviewed,Homo sapiens (Human),B1AN91
PARL,PARL,unreviewed,Homo sapiens (Human),C9JNP8
VTN,VTN,unreviewed,Homo sapiens (Human),F5GX75
Pdha1,Pdha1,reviewed,Rattus norvegicus (Rat),P26284
Clec2l,Clec2l,unreviewed,Rattus norvegicus (Rat),A0A0H2UI15
PRKCA;PKCA;PRKACA,PRKCA,reviewed,Homo sapiens (Human),P17252
RUSF1,RUSF1,unreviewed,Homo sapiens (Human),H3BR29
VPS35L,VPS35L,unreviewed,Homo sapiens (Human),H3BRV8
DNASE2,DNASE2,unreviewed,Homo sapiens (Human),K7ENE5
USE1,USE1,unreviewed,Homo sapiens (Human),M0QYT5
Atr,Atr,unreviewed,Rattus norvegicus (Rat),D3Z822
SLAIN2;KIAA1458,SLAIN2,reviewed,Homo sapiens (Human),Q9P270
DKFZp586I031,DKFZp586I031,unreviewed,Homo sapiens (Human),Q5JXL7
GGA1,GGA1,reviewed,Homo sapiens (Human),Q9UJY5
FADS3,FADS3,unreviewed,Homo sapiens (Human),E9PKP8
Ssr1;Ac2-238,Ssr1,reviewed,Rattus norvegicus (Rat),Q7TPJ0
SIRT2,SIRT2,unreviewed,Homo sapiens (Human),B5MCS1
DSE,DSE,unreviewed,Homo sapiens (Human),X6REM1
TTC1;TPR1,TTC1,reviewed,Homo sapiens (Human),Q99614
TMUB2,TMUB2,unreviewed,Homo sapiens (Human),K7EKW3
GGTLC2;GGTL4,GGTLC2,reviewed,Homo sapiens (Human),Q14390
PENK,PENK,reviewed,Homo sapiens (Human),P01210
Fibin,Fibin,reviewed,Rattus norvegicus (Rat),Q5U2T4
CANX,CANX,unreviewed,Homo sapiens (Human),D6RAU8
MAEA,MAEA,unreviewed,Homo sapiens (Human),B4DVN3
AKR1C3,AKR1C3,unreviewed,Homo sapiens (Human),S4R3D5
COQ8B,COQ8B,unreviewed,Homo sapiens (Human),M0R011
RPL13,RPL13,unreviewed,Homo sapiens (Human),H3BUK8
BCL10,BCL10,unreviewed,Homo sapiens (Human),A0A087WWW9
Marchf8;March8;March8_predicted;rCG_29750,Marchf8,unreviewed,Rattus norvegicus (Rat),D3ZG81
RHOC;ARH9;ARHC,RHOC,reviewed,Homo sapiens (Human),P08134
MRPL2,MRPL2,unreviewed,Homo sapiens (Human),C9IY40
Ndufa5,Ndufa5,reviewed,Rattus norvegicus (Rat),Q63362
EEF1E1,EEF1E1,unreviewed,Homo sapiens (Human),H0YAH9
IDI1,IDI1,reviewed,Homo sapiens (Human),Q13907
c-myb;MYB;hCG_32380,c-myb,unreviewed,Homo sapiens (Human),Q708E1
TRO,TRO,unreviewed,Homo sapiens (Human),B1AKE6
DOHH;HLRC1,DOHH,reviewed,Homo sapiens (Human),Q9BU89
SH2B1,SH2B1,unreviewed,Homo sapiens (Human),B4DLN5
Crat,Crat,reviewed,Rattus norvegicus (Rat),Q704S8
BNIP3,BNIP3,unreviewed,Homo sapiens (Human),A0A0J9YW18
HDAC11,HDAC11,unreviewed,Homo sapiens (Human),C9JBI4
Galnt11,Galnt11,unreviewed,Rattus norvegicus (Rat),A0A0G2K7K0
Ace,Ace,unreviewed,Rattus norvegicus (Rat),A0A0A0MXV4
HTATSF1,HTATSF1,reviewed,Homo sapiens (Human),O43719
Tmod3;rCG_25684,Tmod3,unreviewed,Rattus norvegicus (Rat),Q6AXW2
RAB43,RAB43,unreviewed,Homo sapiens (Human),C9JFM7
Tfg;rCG_52996,Tfg,unreviewed,Rattus norvegicus (Rat),Q6AYR1
USP8,USP8,unreviewed,Homo sapiens (Human),H0YM17
GOSR2,GOSR2,unreviewed,Homo sapiens (Human),A0A1W2PQM3
MXRA8,MXRA8,reviewed,Homo sapiens (Human),Q9BRK3
Hnrnpa0;LOC681410,Hnrnpa0,unreviewed,Rattus norvegicus (Rat),F1M3H8
HNRNPH1,HNRNPH1,unreviewed,Homo sapiens (Human),D6RJ04
RIF1,RIF1,reviewed,Homo sapiens (Human),Q5UIP0
EIF3M;HFLB5;PCID1;GA17;PNAS-125,EIF3M,reviewed,Homo sapiens (Human),Q7L2H7
GPX1,GPX1,unreviewed,Homo sapiens (Human),A0A2R8Y6B6
DGLUCY,DGLUCY,unreviewed,Homo sapiens (Human),A0A0C4DGD4
AMDHD2,AMDHD2,unreviewed,Homo sapiens (Human),H3BT49
ZNF549,ZNF549,unreviewed,Homo sapiens (Human),M0R0L6
DMD,DMD,unreviewed,Homo sapiens (Human),A0A5H1ZRQ8
BRD4;HUNK1,BRD4,reviewed,Homo sapiens (Human),O60885
COL8A1,COL8A1,unreviewed,Homo sapiens (Human),C9JTN9
TRPV2,TRPV2,unreviewed,Homo sapiens (Human),H7BZK2
RBCK1;C20orf18;RNF54;UBCE7IP3;XAP3;XAP4,RBCK1,reviewed,Homo sapiens (Human),Q9BYM8
HLA-F,HLA-F,unreviewed,Homo sapiens (Human),A0A140T9B7
EXTL2;EXTR2,EXTL2,reviewed,Homo sapiens (Human),Q9UBQ6
MPL,MPL,unreviewed,Homo sapiens (Human),Q5JUY5
CRYZL1,CRYZL1,unreviewed,Homo sapiens (Human),C9K0F7
STXBP1,STXBP1,unreviewed,Homo sapiens (Human),A0A1B0GVQ5
RAB34;NARR,RAB34,reviewed,Homo sapiens (Human),P0DI83
ACTB;hCG_15971,ACTB,unreviewed,Homo sapiens (Human),G5E9R0
ECHDC1,ECHDC1,reviewed,Homo sapiens (Human),Q9NTX5
Mios,Mios,unreviewed,Rattus norvegicus (Rat),D3Z9C0
RBPMS;hCG_2043421,RBPMS,unreviewed,Homo sapiens (Human),B4E3T4
MRPL57;MRP63,MRPL57,reviewed,Homo sapiens (Human),Q9BQC6
LBP,LBP,reviewed,Homo sapiens (Human),P18428
CASP6,CASP6,unreviewed,Homo sapiens (Human),D6RHU3
MAMDC2,MAMDC2,reviewed,Homo sapiens (Human),Q7Z304
LIMCH1;KIAA1102,LIMCH1,reviewed,Homo sapiens (Human),Q9UPQ0
COL13A1,COL13A1,unreviewed,Homo sapiens (Human),E7ES50
CYP27A1,CYP27A1,unreviewed,Homo sapiens (Human),F8WD90
MMS19,MMS19,unreviewed,Homo sapiens (Human),H0Y746
TNFAIP2,TNFAIP2,unreviewed,Homo sapiens (Human),H0YLC0
Tpbg;5t4,Tpbg,reviewed,Rattus norvegicus (Rat),Q5PQV5
FAM98B,FAM98B,reviewed,Homo sapiens (Human),Q52LJ0
ATP5MJ;ATP5MPL;C14orf2;MP68;PRO1574,ATP5MJ,reviewed,Homo sapiens (Human),P56378
ANAPC10,ANAPC10,unreviewed,Homo sapiens (Human),D6RA92
WWP2,WWP2,unreviewed,Homo sapiens (Human),H3BPJ8
Kpnb1,Kpnb1,reviewed,Rattus norvegicus (Rat),P52296
RT1-Ba,RT1-Ba,reviewed,Rattus norvegicus (Rat),P20037
Mcc;RGD1561988_predicted;rCG_43779,Mcc,unreviewed,Rattus norvegicus (Rat),A0A0G2K098
CARS2;OK/SW-cl.10,CARS2,reviewed,Homo sapiens (Human),Q9HA77
DOCK9,DOCK9,unreviewed,Homo sapiens (Human),A0A1B0GVL8
SSH1,SSH1,unreviewed,Homo sapiens (Human),F8VS18
NUF2;CDCA1;NUF2R,NUF2,reviewed,Homo sapiens (Human),Q9BZD4
RIC8A,RIC8A,unreviewed,Homo sapiens (Human),E9PI04
MFSD8,MFSD8,unreviewed,Homo sapiens (Human),A0A286YFH9
SGF29,SGF29,unreviewed,Homo sapiens (Human),H3BPL5
SPAG9,SPAG9,unreviewed,Homo sapiens (Human),H0YBE9
SYMPK,SYMPK,unreviewed,Homo sapiens (Human),A0A087WUE9
TRIM22,TRIM22,unreviewed,Homo sapiens (Human),C9J060
NTN1;NTN1L,NTN1,reviewed,Homo sapiens (Human),O95631
WDR45B,WDR45B,unreviewed,Homo sapiens (Human),I3L3A5
