Gene Name,Reduced Gene Name,Organism,Mode
MT-CO2,MT-CO2,human,ensembl
SLC6A6,SLC6A6,human,ensembl
DYNLT1,DYNLT1,human,ensembl
SRSF6,SRSF6,human,ensembl
PLOD1,PLOD1,human,ensembl
P3H4,P3H4,human,ensembl
RPL37A,RPL37A,human,ensembl
MTA2,MTA2,human,ensembl
EEF2,EEF2,human,ensembl
S100A10,S100A10,human,ensembl
BCLAF1,BCLAF1,human,ensembl
DECR1,DECR1,human,ensembl
CD82,CD82,human,ensembl
OAT,OAT,human,ensembl
ADH1C,ADH1C,human,ensembl
TMEM11,TMEM11,human,ensembl
HIP1,HIP1,human,ensembl
ITGA11,ITGA11,human,ensembl
EEF2K,EEF2K,human,ensembl
CARD19,CARD19,human,ensembl
RECK,RECK,human,ensembl
NOSIP,NOSIP,human,ensembl
IGF2BP2,IGF2BP2,human,ensembl
ELOVL5,ELOVL5,human,ensembl
CFL1,CFL1,human,ensembl
MFGE8,MFGE8,human,ensembl
FADS2,FADS2,human,ensembl
FARP1,FARP1,human,ensembl
RPS29,RPS29,human,ensembl
SDHB,SDHB,human,ensembl
MBNL3,MBNL3,human,ensembl
MGST3,MGST3,human,ensembl
H1-3,H1-3,human,ensembl
RPL21,RPL21,human,ensembl
ABHD11,ABHD11,human,ensembl
C4A,C4A,human,ensembl
CYB5B,CYB5B,human,ensembl
SLC9A3R2,SLC9A3R2,human,ensembl
VCL,VCL,human,ensembl
UBE2I,UBE2I,human,ensembl
PHPT1,PHPT1,human,ensembl
S1PR3,S1PR3,human,ensembl
FLNB,FLNB,human,ensembl
GCOM1,GCOM1,human,ensembl
RBBP4,RBBP4,human,ensembl
HNRNPH1,HNRNPH1,human,ensembl
NAPG,NAPG,human,ensembl
HAUS8,HAUS8,human,ensembl
MAP4K5,MAP4K5,human,ensembl
CNN2,CNN2,human,ensembl
DDR2,DDR2,human,ensembl
GNPDA2,GNPDA2,human,ensembl
MED16,MED16,human,ensembl
PSAT1,PSAT1,human,ensembl
LAMB1,LAMB1,human,ensembl
ALAD,ALAD,human,ensembl
GDAP1,GDAP1,human,ensembl
FUS,FUS,human,ensembl
CLPP,CLPP,human,ensembl
NUDT5,NUDT5,human,ensembl
HNRNPD,HNRNPD,human,ensembl
DCTN3,DCTN3,human,ensembl
RBMS2,RBMS2,human,ensembl
LAMP1,LAMP1,human,ensembl
SPPL2B,SPPL2B,human,ensembl
SLC12A6,SLC12A6,human,ensembl
CCN1,CCN1,human,ensembl
S100A8,S100A8,human,ensembl
ITSN2,ITSN2,human,ensembl
HINT1,HINT1,human,ensembl
FAM162A,FAM162A,human,ensembl
YBX1,YBX1,human,ensembl
MAP4,MAP4,human,ensembl
LPCAT2,LPCAT2,human,ensembl
ETFB,ETFB,human,ensembl
NEDD8-MDP1,NEDD8-MDP1,human,ensembl
ACTN1,ACTN1,human,ensembl
ETFDH,ETFDH,human,ensembl
RBMX,RBMX,human,ensembl
PABPC1,PABPC1,human,ensembl
B2M,B2M,human,ensembl
RBBP7,RBBP7,human,ensembl
COPB2,COPB2,human,ensembl
RPL32,RPL32,human,ensembl
PPM1G,PPM1G,human,ensembl
SNRPA,SNRPA,human,ensembl
RPS20,RPS20,human,ensembl
DOCK10,DOCK10,human,ensembl
SDF4,SDF4,human,ensembl
UGDH,UGDH,human,ensembl
CYB5A,CYB5A,human,ensembl
PDZD11,PDZD11,human,ensembl
SNRPA1,SNRPA1,human,ensembl
FST,FST,human,ensembl
GCLM,GCLM,human,ensembl
BTF3,BTF3,human,ensembl
ATXN2L,ATXN2L,human,ensembl
ALDH6A1,ALDH6A1,human,ensembl
GNG12,GNG12,human,ensembl
NDUFA8,NDUFA8,human,ensembl
DNAJC1,DNAJC1,human,ensembl
TMEM185B,TMEM185B,human,ensembl
PYCR2,PYCR2,human,ensembl
NDRG1,NDRG1,human,ensembl
RDH13,RDH13,human,ensembl
BAP18,C17orf49,human,ensembl
CRTAP,CRTAP,human,ensembl
COX6C,COX6C,human,ensembl
NOMO2,NOMO2,human,ensembl
VWA5A,VWA5A,human,ensembl
DDX39A,DDX39A,human,ensembl
MTHFD1L,MTHFD1L,human,ensembl
COL1A1,COL1A1,human,ensembl
NEK7,NEK7,human,ensembl
TMEM263,TMEM263,human,ensembl
ATP5MF-PTCD1,ATP5MF-PTCD1,human,ensembl
MIOS,MIOS,human,ensembl
UQCRQ,UQCRQ,human,ensembl
PPIB,PPIB,human,ensembl
DNPH1,DNPH1,human,ensembl
DIAPH2,DIAPH2,human,ensembl
F3,F3,human,ensembl
LRRC8E,LRRC8E,human,ensembl
DCUN1D5,DCUN1D5,human,ensembl
TRIP13,TRIP13,human,ensembl
DNAJA1,DNAJA1,human,ensembl
ASNS,ASNS,human,ensembl
STON1-GTF2A1L,STON1-GTF2A1L,human,ensembl
HSPA9,HSPA9,human,ensembl
ANKMY2,ANKMY2,human,ensembl
NADSYN1,NADSYN1,human,ensembl
SHCBP1,SHCBP1,human,ensembl
MTARC2,MTARC2,human,ensembl
FBLN1,FBLN1,human,ensembl
MTX2,MTX2,human,ensembl
PSME1,PSME1,human,ensembl
CRYZ,CRYZ,human,ensembl
TSSC4,TSSC4,human,ensembl
TPT1,TPT1,human,ensembl
HK2,HK2,human,ensembl
CKAP4,CKAP4,human,ensembl
MERTK,MERTK,human,ensembl
NDUFV3,NDUFV3,human,ensembl
ATP2B1,ATP2B1,human,ensembl
IGHV5-51,IGHV5-51,human,ensembl
CYB5R2,CYB5R2,human,ensembl
TIAL1,TIAL1,human,ensembl
UGCG,UGCG,human,ensembl
RPS19,RPS19,human,ensembl
FAS,FAS,human,ensembl
BCL10,BCL10,human,ensembl
IGBP1,IGBP1,human,ensembl
TUBA3C,TUBA3C,human,ensembl
DYNLL1,DYNLL1,human,ensembl
STON1,STON1,human,ensembl
ANKRD50,ANKRD50,human,ensembl
SLC7A1,SLC7A1,human,ensembl
PRRX2,PRRX2,human,ensembl
DUT,DUT,human,ensembl
PXN,PXN,human,ensembl
RRP8,RRP8,human,ensembl
MMAB,MMAB,human,ensembl
APOL2,APOL2,human,ensembl
PGRMC2,PGRMC2,human,ensembl
RWDD1,RWDD1,human,ensembl
AK2,AK2,human,ensembl
RRP9,RRP9,human,ensembl
PRDX3,PRDX3,human,ensembl
UQCRB,UQCRB,human,ensembl
SPTLC1,SPTLC1,human,ensembl
PPP4R1,PPP4R1,human,ensembl
DBI,DBI,human,ensembl
DNAJC7,DNAJC7,human,ensembl
DDX21,DDX21,human,ensembl
SNW1,SNW1,human,ensembl
RPL7A,RPL7A,human,ensembl
STAT1,STAT1,human,ensembl
PES1,PES1,human,ensembl
SYT11,SYT11,human,ensembl
TUBAL3,TUBAL3,human,ensembl
TMEM185A,TMEM185A,human,ensembl
PPIG,PPIG,human,ensembl
HSPA2,HSPA2,human,ensembl
AARS1,AARS1,human,ensembl
ACSS1,ACSS1,human,ensembl
PTCD1,PTCD1,human,ensembl
XPC,XPC,human,ensembl
PCDHGC3,PCDHGC3,human,ensembl
SPATS2,SPATS2,human,ensembl
MSH2,MSH2,human,ensembl
CD46,CD46,human,ensembl
H1-0,H1-0,human,ensembl
PATL1,PATL1,human,ensembl
NCBP1,NCBP1,human,ensembl
LRRC59,LRRC59,human,ensembl
CMTM6,CMTM6,human,ensembl
PIGG,PIGG,human,ensembl
PLSCR3,PLSCR3,human,ensembl
EBP,EBP,human,ensembl
PLPBP,PLPBP,human,ensembl
RPL35A,RPL35A,human,ensembl
TPM1,TPM1,human,ensembl
HMGN2,HMGN2,human,ensembl
HSP90AB1,HSP90AB1,human,ensembl
NT5DC1,NT5DC1,human,ensembl
GCLC,GCLC,human,ensembl
NT5DC3,NT5DC3,human,ensembl
CDIPT,CDIPT,human,ensembl
DDX5,DDX5,human,ensembl
CNPY3,CNPY3,human,ensembl
RPSA,RPSA,human,ensembl
OSTC,OSTC,human,ensembl
BPGM,BPGM,human,ensembl
HSD17B10,HSD17B10,human,ensembl
GTF2E2,GTF2E2,human,ensembl
NDE1,NDE1,human,ensembl
ECI1,ECI1,human,ensembl
ABCD1,ABCD1,human,ensembl
EEF1A1,EEF1A1,human,ensembl
C18orf32,C18orf32,human,ensembl
OSTF1,OSTF1,human,ensembl
AOX1,AOX1,human,ensembl
SDF2,SDF2,human,ensembl
KIF23,KIF23,human,ensembl
DNAJB4,DNAJB4,human,ensembl
SDC2,SDC2,human,ensembl
EGLN1,EGLN1,human,ensembl
ITGB5,ITGB5,human,ensembl
CAPRIN1,CAPRIN1,human,ensembl
GATD3B,GATD3,human,ensembl
HPCAL1,HPCAL1,human,ensembl
TRIM47,TRIM47,human,ensembl
HSD17B11,HSD17B11,human,ensembl
NRDC,NRDC,human,ensembl
PLPP3,PLPP3,human,ensembl
SDHC,SDHC,human,ensembl
ARMC1,ARMC1,human,ensembl
PDLIM4,PDLIM4,human,ensembl
MSH6,MSH6,human,ensembl
ABHD14A-ACY1,ABHD14A-ACY1,human,ensembl
TMA7,TMA7,human,ensembl
LIMA1,LIMA1,human,ensembl
MDP1,MDP1,human,ensembl
LACTB,LACTB,human,ensembl
PSMB2,PSMB2,human,ensembl
ATP5IF1,ATP5IF1,human,ensembl
GUSB,GUSB,human,ensembl
NDFIP1,NDFIP1,human,ensembl
PPP2R1A,PPP2R1A,human,ensembl
S100A11,S100A11,human,ensembl
AIP,AIP,human,ensembl
RTRAF,RTRAF,human,ensembl
COL1A2,COL1A2,human,ensembl
ELN,ELN,human,ensembl
PMFBP1,PMFBP1,human,ensembl
TMEM231,TMEM231,human,ensembl
PRSS23,PRSS23,human,ensembl
MT-CO3,MT-CO3,human,ensembl
ALDH1A3,ALDH1A3,human,ensembl
LAPTM4A,LAPTM4A,human,ensembl
FMNL3,FMNL3,human,ensembl
LARP4B,LARP4B,human,ensembl
HNRNPA2B1,HNRNPA2B1,human,ensembl
SYTL2,SYTL2,human,ensembl
SFXN3,SFXN3,human,ensembl
LAMTOR2,LAMTOR2,human,ensembl
SUPT16H,SUPT16H,human,ensembl
RPS5,RPS5,human,ensembl
TRMT112,TRMT112,human,ensembl
COX5B,COX5B,human,ensembl
RPL30,RPL30,human,ensembl
ITM2C,ITM2C,human,ensembl
NCOA4,NCOA4,human,ensembl
EIF2A,EIF2A,human,ensembl
TMEM201,TMEM201,human,ensembl
MRPL46,MRPL46,human,ensembl
CXCL12,CXCL12,human,ensembl
NAV1,NAV1,human,ensembl
ANXA7,ANXA7,human,ensembl
HLA-H,HLA-H,human,ensembl
KCTD12,KCTD12,human,ensembl
FBN2,FBN2,human,ensembl
ANXA4,ANXA4,human,ensembl
CTSB,CTSB,human,ensembl
PSMD14,PSMD14,human,ensembl
RBM3,RBM3,human,ensembl
PNO1,PNO1,human,ensembl
TPCN1,TPCN1,human,ensembl
FKBP1A,FKBP1A,human,ensembl
RAB3A,RAB3A,human,ensembl
TUBB3,TUBB3,human,ensembl
SLC4A4,SLC4A4,human,ensembl
MYDGF,MYDGF,human,ensembl
HMGA2,HMGA2,human,ensembl
TMX2,TMX2,human,ensembl
HERC6,HERC6,human,ensembl
OXR1,OXR1,human,ensembl
FLNA,FLNA,human,ensembl
RTF2,RTF2,human,ensembl
ECHDC1,ECHDC1,human,ensembl
JCAD,JCAD,human,ensembl
INA,INA,human,ensembl
MAN1B1,MAN1B1,human,ensembl
COL4A2,COL4A2,human,ensembl
ARID1B,ARID1B,human,ensembl
ATP5MC2,ATP5MC2,human,ensembl
ANPEP,ANPEP,human,ensembl
FNTA,FNTA,human,ensembl
PCOLCE,PCOLCE,human,ensembl
BECN1,BECN1,human,ensembl
LSM14B,LSM14B,human,ensembl
CDC42EP3,CDC42EP3,human,ensembl
ADAMTS1,ADAMTS1,human,ensembl
MGST1,MGST1,human,ensembl
DPYSL2,DPYSL2,human,ensembl
WARS1,WARS1,human,ensembl
RPL18A,RPL18A,human,ensembl
PNPO,PNPO,human,ensembl
Nucb2,NUCB2,human,ensembl
HMGN4,HMGN4,human,ensembl
ISOC1,ISOC1,human,ensembl
KHSRP,KHSRP,human,ensembl
HLA-G,HLA-G,human,ensembl
VPS37A,VPS37A,human,ensembl
SLC26A11,SLC26A11,human,ensembl
MLPH,MLPH,human,ensembl
SH3PXD2B,SH3PXD2B,human,ensembl
FMNL2,FMNL2,human,ensembl
PRKAG2,PRKAG2,human,ensembl
CALU,CALU,human,ensembl
MYOM1,MYOM1,human,ensembl
NDUFC2,NDUFC2,human,ensembl
CRLF3,CRLF3,human,ensembl
SAMHD1,SAMHD1,human,ensembl
KIAA1191,KIAA1191,human,ensembl
HNRNPK,HNRNPK,human,ensembl
COL5A1,COL5A1,human,ensembl
WARS2,WARS2,human,ensembl
PSMD8,PSMD8,human,ensembl
DAD1,DAD1,human,ensembl
CPPED1,CPPED1,human,ensembl
GTPBP4,GTPBP4,human,ensembl
KPNA2,KPNA2,human,ensembl
SMPD1,SMPD1,human,ensembl
GNAI3,GNAI3,human,ensembl
MARCKS,MARCKS,human,ensembl
HSPA8,HSPA8,human,ensembl
H6PD,H6PD,human,ensembl
SSRP1,SSRP1,human,ensembl
PTX3,PTX3,human,ensembl
NQO1,NQO1,human,ensembl
HMGCLL1,HMGCLL1,human,ensembl
SNX17,SNX17,human,ensembl
COL8A1,COL8A1,human,ensembl
P3H1,P3H1,human,ensembl
AP1S3,AP1S3,human,ensembl
PDLIM1,PDLIM1,human,ensembl
MRI1,MRI1,human,ensembl
ALDH16A1,ALDH16A1,human,ensembl
CTBP1,CTBP1,human,ensembl
RPS17,RPS17,human,ensembl
PSMB8,PSMB8,human,ensembl
PLA2G4A,PLA2G4A,human,ensembl
FAU,FAU,human,ensembl
COL5A2,COL5A2,human,ensembl
TMEM63B,TMEM63B,human,ensembl
EDC3,EDC3,human,ensembl
UBL4A,UBL4A,human,ensembl
AHNAK,AHNAK,human,ensembl
TOP2B,TOP2B,human,ensembl
SLC7A7,SLC7A7,human,ensembl
PTGIS,PTGIS,human,ensembl
NDUFA4,NDUFA4,human,ensembl
EFNB1,EFNB1,human,ensembl
GALNT7,GALNT7,human,ensembl
SLC20A1,SLC20A1,human,ensembl
CYSTM1,CYSTM1,human,ensembl
FNBP1,FNBP1,human,ensembl
MGAT2,MGAT2,human,ensembl
ARPC5,ARPC5,human,ensembl
NCL,NCL,human,ensembl
FKBP5,FKBP5,human,ensembl
UTP11,UTP11,human,ensembl
SNAPIN,SNAPIN,human,ensembl
SSB,SSB,human,ensembl
KDELR1,KDELR1,human,ensembl
RANGAP1,RANGAP1,human,ensembl
FEN1,FEN1,human,ensembl
APOO,APOO,human,ensembl
LGALS3,LGALS3,human,ensembl
TXNDC9,TXNDC9,human,ensembl
IST1,IST1,human,ensembl
RACGAP1,RACGAP1,human,ensembl
IRS2,IRS2,human,ensembl
ZYX,ZYX,human,ensembl
SPATS2L,SPATS2L,human,ensembl
PLIN3,PLIN3,human,ensembl
SARS2,SARS2,human,ensembl
PML,PML,human,ensembl
HIBCH,HIBCH,human,ensembl
JUP,JUP,human,ensembl
RAB3D,RAB3D,human,ensembl
MRPL53,MRPL53,human,ensembl
MROH1,MROH1,human,ensembl
DDX3X,DDX3X,human,ensembl
CTHRC1,CTHRC1,human,ensembl
COMMD6,COMMD6,human,ensembl
TUBA4A,TUBA4A,human,ensembl
PTER,PTER,human,ensembl
SYNJ2,SYNJ2,human,ensembl
FDFT1,FDFT1,human,ensembl
MAPK7,MAPK7,human,ensembl
ATP5MK,ATP5MK,human,ensembl
GGPS1,GGPS1,human,ensembl
EEF1E1,EEF1E1,human,ensembl
HADHB,HADHB,human,ensembl
AZI2,AZI2,human,ensembl
CLPTM1,CLPTM1,human,ensembl
RPL4,RPL4,human,ensembl
RALGPS2,RALGPS2,human,ensembl
USP53,USP53,human,ensembl
HMGCS1,HMGCS1,human,ensembl
GAS6,GAS6,human,ensembl
MPHOSPH10,MPHOSPH10,human,ensembl
ARL6,ARL6,human,ensembl
TMEM167B,TMEM167B,human,ensembl
MRTO4,MRTO4,human,ensembl
CPD,CPD,human,ensembl
UBE2D3,UBE2D3,human,ensembl
GLT8D1,GLT8D1,human,ensembl
SH3D19,SH3D19,human,ensembl
HDLBP,HDLBP,human,ensembl
CD59,CD59,human,ensembl
IFI44,IFI44,human,ensembl
TJP2,TJP2,human,ensembl
COX7A2,COX7A2,human,ensembl
ARSA,ARSA,human,ensembl
PDCD5,PDCD5,human,ensembl
GARS1,GARS1,human,ensembl
TSC22D2,TSC22D2,human,ensembl
NT5C2,NT5C2,human,ensembl
EBF2,EBF2,human,ensembl
MAP2K3,MAP2K3,human,ensembl
CYB5R1,CYB5R1,human,ensembl
BZW2,BZW2,human,ensembl
H2AZ2,H2AZ2,human,ensembl
PTPRS,PTPRS,human,ensembl
ATAD2B,ATAD2B,human,ensembl
TMEM30A,TMEM30A,human,ensembl
AK5,AK5,human,ensembl
GPD2,GPD2,human,ensembl
TGFBRAP1,TGFBRAP1,human,ensembl
TUBA1A,TUBA1A,human,ensembl
IL17RA,IL17RA,human,ensembl
GLUL,GLUL,human,ensembl
SLC7A5,SLC7A5,human,ensembl
CMPK2,CMPK2,human,ensembl
EPS8,EPS8,human,ensembl
NOLC1,NOLC1,human,ensembl
TLR3,TLR3,human,ensembl
MCM7,MCM7,human,ensembl
HSP90AB4P,HSP90AB4P,human,ensembl
YIPF6,YIPF6,human,ensembl
S100A16,S100A16,human,ensembl
FKBP7,FKBP7,human,ensembl
BOLA2-SMG1P6,BOLA2-SMG1P6,human,ensembl
ACSL1,ACSL1,human,ensembl
EIF1B,EIF1B,human,ensembl
TPST1,TPST1,human,ensembl
MMP2,MMP2,human,ensembl
RPS2,RPS2,human,ensembl
PLGRKT,PLGRKT,human,ensembl
MBNL1,MBNL1,human,ensembl
FKBP9P1,FKBP9P1,human,ensembl
OSBPL10,OSBPL10,human,ensembl
CYP51A1,CYP51A1,human,ensembl
COL3A1,COL3A1,human,ensembl
NUDCD2,NUDCD2,human,ensembl
DCUN1D4,DCUN1D4,human,ensembl
ISCU,ISCU,human,ensembl
NDUFB1,NDUFB1,human,ensembl
GSTO1,GSTO1,human,ensembl
HAT1,HAT1,human,ensembl
GNPDA1,GNPDA1,human,ensembl
TUBA3D,TUBA3D,human,ensembl
GPD1L,GPD1L,human,ensembl
PHB1,PHB1,human,ensembl
SPRY2,SPRY2,human,ensembl
GYS1,GYS1,human,ensembl
CSTB,CSTB,human,ensembl
MAGED1,MAGED1,human,ensembl
TUBA3E,TUBA3E,human,ensembl
DAB2,DAB2,human,ensembl
UGP2,UGP2,human,ensembl
COL6A2,COL6A2,human,ensembl
H3C14,H3C14,human,ensembl
SMURF2,SMURF2,human,ensembl
TMOD3,TMOD3,human,ensembl
SOD2,SOD2,human,ensembl
FKBP1C,FKBP1C,human,ensembl
JAK1,JAK1,human,ensembl
SLC4A1AP,SLC4A1AP,human,ensembl
SRI,SRI,human,ensembl
MPG,MPG,human,ensembl
C8orf82,C8orf82,human,ensembl
NDUFC2-KCTD14,NDUFC2-KCTD14,human,ensembl
DDX54,DDX54,human,ensembl
MYZAP,MYZAP,human,ensembl
SCARB2,SCARB2,human,ensembl
AK4,AK4,human,ensembl
CYBRD1,CYBRD1,human,ensembl
KCTD9,KCTD9,human,ensembl
AAMDC,AAMDC,human,ensembl
FLNC,FLNC,human,ensembl
NDUFS4,NDUFS4,human,ensembl
SNAP29,SNAP29,human,ensembl
ZWILCH,ZWILCH,human,ensembl
CEP290,CEP290,human,ensembl
SLC25A12,SLC25A12,human,ensembl
PCNA,PCNA,human,ensembl
PARK7,PARK7,human,ensembl
SH2D4A,SH2D4A,human,ensembl
BUD31,BUD31,human,ensembl
IKBKG,IKBKG,human,ensembl
TOMM7,TOMM7,human,ensembl
DTNBP1,DTNBP1,human,ensembl
BAIAP2,BAIAP2,human,ensembl
ALPL,ALPL,human,ensembl
TAGLN2,TAGLN2,human,ensembl
TPD52L2,TPD52L2,human,ensembl
KHDC4,KHDC4,human,ensembl
NUP50,NUP50,human,ensembl
EBF1,EBF1,human,ensembl
SLC16A1,SLC16A1,human,ensembl
LYPLA1,LYPLA1,human,ensembl
PYGB,PYGB,human,ensembl
TMEM59,TMEM59,human,ensembl
HNRNPA1L3,HNRNPA1L3,human,ensembl
ERG28,ERG28,human,ensembl
DPYD,DPYD,human,ensembl
ALCAM,ALCAM,human,ensembl
PAIP1,PAIP1,human,ensembl
GPM6B,GPM6B,human,ensembl
PRDX5,PRDX5,human,ensembl
APTX,APTX,human,ensembl
P3H3,P3H3,human,ensembl
CCDC92,CCDC92,human,ensembl
MAP1LC3B2,MAP1LC3B2,human,ensembl
POLR2E,POLR2E,human,ensembl
GABARAP,GABARAP,human,ensembl
GBE1,GBE1,human,ensembl
HS1BP3,HS1BP3,human,ensembl
