Study,Schmidt_2016,Schmidt_2018,Dong_2020,Calciolari_2017
,,,IGFBP3,ALDH2
,,,HCFC1,APOA4
,,,CD47,CALCA
,,,CLEC10A,CALD1
,,,SMCR8,CAST
,,,DPY30,F2
,,,RAB1B,CKB
,,,NUP50,FGB
,,,STOM,LGALS16;LGALS14;LGALS13
,,,GUF1,GSN
,,,FCHO2,GPX1
,,,PDLIM1,GDA
,,,SNRPD1,GNG12
,,,PRKAR2B,HSPB1
,,,FYCO1,H3C15
,,,CAV1,LMNA
,,,SRC,LMLN
,,,AP2S1,MGP
,,,NHLRC3,OGN
,,,SRRM1,SPP1
,,,GPNMB,POSTN
,,,ISOC2,HSPG2
,,,MLEC,ADRM1
,,,SPNS1,EVI5L
,,,CLN3,SERPINC1
,,,SEPSECS,TMPRSS13
,,,PHLDB2,RRP8
,,,CRLF3,HTRA1
,,,ITM2B,SERPINA3
,,,S100A6,TTR
,,,HEXA,FN1
,,,PLBD2,VIM
,,,MRPS17,HSPB1
,,,QRSL1,H3-3B;H3-5;H3-3A
,,,ARF1,PHLDB1
,,,COL12A1,LMNA
,,,LBP,TUBA1C
,,,NDRG2,
,,,INTS4,
,,,LRRC8A,
,,,TMEM176B,
,,,RAB4B,
,,,TMEM104,
,,,C19orf25,
,,,WIPI2,
,,,USP19,
,,,CPSF4,
,,,GDPD1,
,,,DHX58,
,,,VDAC1,
,,,PRDX2,
,,,SYMPK,
,,,COPS7B,
,,,CTC1,
,,,GXYLT1,
,,,MTX2,
,,,RHOG,
,,,EPN1,
,,,PREPL,
,,,CNN2,
,,,ROMO1,
,,,HMGN2,
,,,DNAJC5,
,,,SNRPE,
,,,C1QBP,
,,,SLC9A9,
,,,STK10,
,,,MAPK7,
,,,CYCS,
,,,GNB2,
,,,F9,
,,,NPM3,
,,,CTSS,
,,,LHPP,
,,,SUOX,
,,,WDFY1,
,,,DPEP1,
,,,MYL12A,
,,,FAM98A,
,,,ASAH1,
,,,RBBP9,
,,,VAMP3,
,,,MRPS18B,
,,,EML4,
,,,PFDN5,
,,,FDX1,
,,,LGALS1,
,,,COX7C,
,,,C1orf198,
,,,IGFBP4,
,,,HPSE,
,,,HEXB,
,,,MOCS3,
,,,EIPR1,
,,,GNA11,
,,,NDUFA3,
,,,SGCD,
,,,DAP,
,,,CORO1C,
,,,PLEK,
,,,PGPEP1,
,,,IMPACT,
,,,FRMD8,
,,,GNB1,
,,,EPG5,
,,,MTCH2,
,,,UQCRHL;UQCRH,
,,,CTSH,
,,,ENDOD1,
,,,CREG1,
,,,BPHL,
,,,IDH1,
,,,SRSF10,
,,,GLUL,
,,,RTN3,
,,,DYNLL2,
,,,CYP1B1,
,,,MYADM,
,,,ANXA1,
,,,PLS3,
,,,CCL23;CCL15,
,,,PRRC2A,
,,,HEBP1,
,,,NPC1,
,,,TRPV2,
,,,SELENBP1,
,,,RAP2B,
,,,ATP6V0C,
,,,RAP1B,
,,,SLC4A1AP,
,,,UFL1,
,,,GM2A,
,,,HADHA,
,,,GLRX,
,,,AKAP9,
,,,TRMT6,
,,,INPP1,
,,,SLC29A3,
,,,HBS1L,
,,,TULP3,
,,,SCPEP1,
,,,GSTM1,
,,,ARHGAP10,
,,,RPL24,
,,,FCGRT,
,,,DRAM2,
,,,PPT1,
,,,NPR3,
,,,CNOT3,
,,,NUDT16,
,,,PLEKHM1,
,,,CNRIP1,
,,,KYAT1,
,,,CTTN,
,,,GSTO1,
,,,SNX3,
,,,SPP2,
,,,RPL10,
,,,PTDSS1,
,,,MCM4,
,,,NAGLU,
,,,RABGGTB,
,,,ENPP4,
,,,TMEM160,
,,,HAL,
,,,SEC16A,
,,,ANXA2,
,,,LAMP2,
,,,WDR45B,
,,,PLIN4,
,,,PGAM1;PGAM4,
,,,VKORC1,
,,,UNC93B1,
,,,TOR1B,
,,,EIF2B1,
,,,CST3,
,,,TOX4,
,,,ABCD4,
,,,GRN,
,,,FAS,
,,,MGST3,
,,,GALC,
,,,PLGRKT,
,,,GTPBP1,
,,,LUC7L3,
,,,NEK9,
,,,MAOA,
,,,METTL7A,
,,,S100A10,
,,,COPS8,
,,,NFU1,
,,,CRYZ,
,,,LRRC57,
,,,SLC31A1,
,,,SF3B2,
,,,SH3KBP1,
,,,TAMM41,
,,,MTFR1L,
,,,CAB39,
,,,CA3,
,,,GGA2,
,,,HK1,
,,,SERPINB6,
,,,TAOK3,
,,,IGFBP7,
,,,RAD23B,
,,,CRBN,
,,,S100A11,
,,,FCGR2C;FCGR2B;FCGR2A,
,,,DYSF,
,,,RBM42,
,,,STARD5,
,,,DBI,
,,,KHSRP,
,,,RDH14,
,,,HNRNPUL1,
,,,OXCT1,
,,,CTBS,
,,,SF3B6,
,,,IDH3B,
,,,ACADSB,
,,,FMO3,
,,,GMFB,
,,,ALDH2,
,,,PRDX3,
,,,UCK1,
,,,KRAS,
,,,TECPR1,
,,,DNTTIP2,
,,,RPL35A,
,,,RBM17,
,,,MVD,
,,,ARHGAP25,
,,,PDPK1,
,,,LONP1,
,,,TXLNA,
,,,ADSS2,
,,,HNMT,
,,,MSRA,
,,,EBP,
,,,NFATC2,
,,,THOP1,
,,,OAS1,
,,,SLC25A22,
,,,NBDY,
,,,HAVCR2,
,,,CNTN1,
,,,ADGRE1,
,,,EIF2B5,
,,,C12orf57,
,,,RAB4A,
,,,RUFY3,
,,,DGKZ,
,,,MECP2,
,,,GFPT1,
,,,CHMP7,
,,,TRIOBP,
,,,U2AF1,
,,,RPL14,
,,,MAGT1,
,,,ERGIC3,
,,,SAFB,
,,,SNRPA1,
,,,SLC39A14,
,,,PML,
,,,CSTF2T,
,,,TAP2,
,,,OSBPL8,
,,,RTRAF,
,,,TMEM87A,
,,,PSMG3,
,,,DGUOK,
,,,USP15,
,,,HSPA14,
,,,TBCD,
,,,ADPRH,
,,,UCHL3,
,,,FASN,
,,,FKBP4,
,,,SERPINC1,
,,,SNRPB2,
,,,ATG4B,
,,,TMTC3,
,,,RPA1,
,,,ATXN2,
,,,HSCB,
,,,SPCS3,
,,,GALM,
,,,RPS21,
,,,TBL1XR1,
,,,CSE1L,
,,,CFAP36,
,,,ATP6V1D,
,,,RPA3,
,,,ABRACL,
,,,GID8,
,,,PFN2,
,,,WDR26,
,,,DNAJC3,
,,,SF3B5,
,,,TXNDC5,
,,,RNF213,
,,,PLOD3,
,,,IFIT1B,
,,,CRTAP,
,,,CD109,
,,,CRKL,
,,,KLKB1,
,,,TUBGCP3,
,,,NECAP1,
,,,CISD2,
,,,BTK,
,,,LTBP4,
,,,SEC61B,
,,,FNTA,
,,,SFR1,
,,,FBXO4,
,,,NSUN2,
,,,YIPF5,
,,,GALNT7,
,,,CUX1,
,,,RBBP7,
,,,USP24,
,,,BAIAP2,
,,,CHD5,
,,,MT1F,
,,,DNAJA3,
,,,YTHDF2,
,,,IRF5,
,,,HMGCS1,
,,,TBL1Y;TBL1X,
,,,SLFN5,
,,,EXOSC10,
,,,GSDME,
,,,ARHGAP18,
,,,RNASET2,
,,,LCMT1,
,,,RGS19,
,,,NFATC1,
,,,EMC8,
,,,SLC4A2,
,,,MGAT2,
,,,NEMF,
,,,ASCC2,
,,,IFI44,
,,,CBX3,
,,,RPS29,
,,,SMS,
,,,PRPF4B,
,,,DPP9,
,,,WAS,
,,,PPIC,
,,,PPP1R11,
,,,HSD3B7,
,,,APOB,
,,,TRAPPC1,
,,,C11orf68,
,,,PNN,
,,,NCKAP1,
,,,PBXIP1,
,,,SPAG9,
,,,HSPB11,
,,,SNF8,
,,,HK3,
,,,PDIA5,
,,,IRAK4,
,,,MCM5,
,,,CCDC90B,
,,,NES,
,,,RPAP3,
,,,G3BP1,
,,,DHRS11,
,,,BCAS3,
,,,EFEMP1,
,,,PRKX,
,,,ISG15,
,,,RGN,
,,,CNOT7,
,,,EMC2,
,,,MTOR,
,,,WWC2,
,,,TNPO1,
,,,PEF1,
,,,GBP4;GBP6,
,,,SPHK1,
,,,MCM2,
,,,LRCH1,
,,,WBP2,
,,,CAMK1D,
,,,NCAPD2,
,,,STK24,
,,,COMMD7,
,,,MICALL2,
,,,CSNK1G1,
,,,MAD2L1,
,,,NLRX1,
,,,ANGPTL3,
,,,RELCH,
,,,NFS1,
,,,EVL,
,,,MCM6,
,,,ZNF622,
,,,CAAP1,
,,,RETREG3,
,,,NUP88,
,,,YPEL5,
,,,TRABD,
,,,MYO1G,
,,,DCTN4,
,,,CBLB,
,,,RAD50,
,,,PEBP1,
,,,GMDS,
,,,PLIN2,
,,,HMGN5,
,,,KYAT3,
,,,TMEM120A,
,,,PES1,
,,,NEMP1,
,,,CLPX,
,,,NIT1,
,,,TIMP3,
,,,MRPL9,
,,,CEPT1,
,,,MLKL,
,,,TJP1,
,,,CD14,
,,,ANKLE2,
,,,GBP6,
,,,DHX36,
,,,FCGR2C;FCGR2B;FCGR2A,
,,,MT-ATP8,
,,,RANBP9,
,,,PRPF4,
,,,RFC4,
,,,HPS3,
,,,ALB,
,,,XPNPEP3,
,,,PSPH,
,,,TRMT1,
,,,KLC4,
,,,AKAP8,
,,,OAF,
,,,CUL4B,
,,,NXF1,
,,,ARFGEF1,
,,,LSM3,
,,,DDX18,
,,,SLK,
,,,OTUD6B,
,,,MCOLN1,
,,,GRB10,
,,,TUBB2A,
,,,VNN1,
,,,LAMB1,
,,,FAM91A1,
,,,BLOC1S4,
,,,HCCS,
,,,PDCD5,
,,,PKLR,
,,,TMEM11,
,,,MIOS,
,,,CASP7,
,,,WDR77,
,,,CDH5,
,,,NXN,
,,,ATE1,
,,,AAGAB,
,,,BIRC6,
,,,NUP133,
,,,POLR2B,
,,,SNX13,
,,,GTF2F1,
,,,DDRGK1,
,,,QRICH1,
,,,GDE1,
,,,PPP1R14B,
,,,SBF1,
,,,ATP2C1,
,,,SSR3,
,,,ZFR,
,,,MS4A6A;MS4A6E,
,,,EFEMP2,
,,,CCAR2,
,,,CRYZL1,
,,,HPS6,
,,,AKAP10,
,,,WDFY4,
,,,SCG3,
,,,BRAT1,
,,,AGA,
,,,ENGASE,
,,,GAMT,
,,,INTS10,
,,,MAEA,
,,,ALCAM,
,,,EIF2D,
,,,ITGA11,
