"id" "Protein IDs" "Protein names" "Gene names" "Set1_D0-1" "Set1_D3-1" "Set1_D7-3" "Set1_D14-3" "Set1_reference" "Set2_D0-2" "Set2_D3-2" "Set2_D7-2" "Set2_D14-2" "Set2_reference" "Set3_D0-3" "Set3_D3-3" "Set3_D7-1" "Set3_D14-1" "Set3_reference"
47 "K7EJ20;K7ERP4;A0A0A0MTT1;R4GNE4;K7ENB4;A0A087X247;A0A087X2I2;P36969;K7EKX7;A0A087WT12" "Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial" "GPX4" 181069.893143458 190291.622184977 205524.258702569 238964.93358374 195977.998055761 172003.242628628 204118.206218681 189240.88125729 197383.57776035 195977.998055761 174538.216375012 160627.742159901 160502.844829993 214873.589175704 195977.998055761
48 "B3KME9;A0A087WT20;A0A087X1F8;Q9NV06;E5RHM4" "DDB1- and CUL4-associated factor 13" "DCAF13" 32454.2460181205 30463.433358695 33639.4897771964 32566.9231456724 30938.8245932209 34709.2509189902 29205.6350666247 29813.9383622098 30130.8531696031 30938.8245932209 30698.5631920249 29149.4267212653 30005.263060608 31339.2711192244 30938.8245932209
53 "A0A087WTA8;P08123" "Collagen alpha-2(I) chain" "COL1A2" 2228793.63962884 1138119.47591571 1026904.96571063 917266.355559289 1336508.53339216 2342067.81301008 989059.990669755 1060969.54340993 1233502.37325522 1336508.53339216 2098468.47547086 1121317.01030309 1181065.02977319 953834.022814209 1336508.53339216
54 "A0A087WTB8" "Ubiquitin carboxyl-terminal hydrolase" "UCHL3" 19037.7389044316 24355.4438704805 30402.260670332 25705.5306963962 24793.7214360088 23513.3114017818 30055.2995552021 26381.1026398693 29085.7648333829 24793.7214360088 19819.8340105849 25301.1305347918 23747.4315867217 23703.9685554809 24793.7214360088
57 "A0A087WTP3;M0QYG1;M0QYH3;M0R0I5;M0QXW7" "" "KHSRP" 429791.26546922 598585.291437026 614816.875261396 592691.996848858 514743.618766256 440601.805060867 520755.888086175 583871.344644192 473339.475233342 514743.618766256 430577.350147864 461437.195343939 461842.474689927 559082.132094338 514743.618766256
58 "A0A087WVR3;A0A087WWG9;A0A087WTW0;Q96T88" "E3 ubiquitin-protein ligase UHRF1" "UHRF1" 38421.4322984544 29645.2651407233 35497.238696142 27177.3356465573 29095.3646213813 42292.9687407484 20523.6356230393 31034.7608381495 18216.8186755014 29095.3646213813 24367.1385888564 17360.2290612076 20363.130722723 23280.9350887156 29095.3646213813
60 "H0YI58;F8W0R1;H0YI50;F8VR88;Q96RQ1;F8VPA6;A0A087WU02;F8VUZ2" "Endoplasmic reticulum-Golgi intermediate compartment protein 2" "ERGIC2" 45399.1913934699 46081.032645478 46392.7894347782 43719.297534843 43467.1220615662 42197.5354360547 42633.9993447053 43567.6548955781 45617.6636413875 43467.1220615662 44672.4713208082 42696.3246808438 40413.82625084 41395.3167778568 43467.1220615662
62 "A0A087WU53;Q9H0U3" "Magnesium transporter protein 1" "MAGT1;Magt1" 75297.0473515555 81541.6588384101 79961.7771424394 86539.040268473 86542.3285906815 85385.3038258448 89885.3842508633 91919.5966528035 98379.4256864906 86542.3285906815 96489.7880687457 92546.2910492271 90629.3994451287 86416.0120830831 86542.3285906815
64 "Q8WYA6;A0A087WUB9;A2A2P1" "Beta-catenin-like protein 1" "CTNNBL1;Ctnnbl1" 101197.805744919 93647.6148211706 83783.2969288793 98647.0008197735 83134.4441277856 90916.7590520228 88827.4648661591 88446.2305536953 79238.6498288925 83134.4441277856 97560.2286346053 75988.0431417716 78883.6211434742 86525.1119381499 83134.4441277856
65 "A0A087WUC6;E9PRB9;H0YE04;E9PL01;E9PI68;Q15005" "Signal peptidase complex subunit 2" "SPCS2" 346266.319507881 307733.399610678 324551.369483734 320759.823859101 328080.214005689 338486.140589356 336322.439183751 315179.575530808 319621.472044956 328080.214005689 337148.755435785 322584.569122779 328479.212711709 330097.068042151 328080.214005689
67 "A0A087WUK2;O14979" "Heterogeneous nuclear ribonucleoprotein D-like" "HNRNPDL;Hnrnpdl" 483450.834990473 414772.18943373 378846.845251075 404557.549207307 409162.49066154 449070.63935049 411784.065941303 398292.624362978 347682.864785553 409162.49066154 454361.711396812 380255.466809317 366902.923956437 413239.371164859 409162.49066154
69 "P07203;A0A2R8Y6B6" "Glutathione peroxidase;Glutathione peroxidase 1" "GPX1" 94890.0285761669 97026.2735593517 104754.444845321 105898.91414112 101683.709088156 77928.6845389932 110924.80932474 110000.041743635 91226.7512973838 101683.709088156 92413.0176185948 92079.2802069609 90232.4579195728 140138.782108649 101683.709088156
71 "O60841;A0A087WUT6" "Eukaryotic translation initiation factor 5B" "EIF5B" 640800.279058121 617101.712409701 647483.36769926 664696.235464827 627440.540021233 613072.579120174 615342.120875351 632340.547932529 607883.464995939 627440.540021233 638956.914475093 582645.199822518 609252.237702301 630474.467660861 627440.540021233
72 "C9JCG6;A0A087WUW6;Q9Y6K9;C9JH59;C9JN51;A0A087X0G7;A0A087WV30;A0A087X1K7;A0A087X1B1;C9J2V2" "NF-kappa-B essential modulator" "IKBKG" 48765.6033460329 61251.1414884277 64630.4119601033 61667.1698382164 62947.396036704 57454.0931788208 66565.9556128206 69627.1627881546 66495.3506218771 62947.396036704 54208.0724680964 61402.9269205178 62161.7830637254 68135.9325449017 62947.396036704
75 "A0A087WV01" "Elongation factor 1-alpha" "EEF1A1" 55230.7035746635 48616.2681528668 52254.2979925925 44963.0619284614 49412.2273052445 57761.7562500057 50527.2557163005 47028.4559130192 48929.455606475 49412.2273052445 46890.892948725 52641.7596001076 47372.8716938233 45125.3859110435 49412.2273052445
78 "Q8WU79;X6RCC3;A0A087WV97" "Stromal membrane-associated protein 2" "SMAP2;Smap2" 16363.3166938165 16011.7880542951 17093.5374619747 14079.7596356361 15710.2743758871 14525.0971193004 15955.7602427969 14748.2737554321 16124.366354706 15710.2743758871 17047.6002556626 17077.3093396776 15087.4645595403 15157.8892401296 15710.2743758871
79 "P62341;F8WBD0;Q6IAK0;A0A087WVA1" "Selenoprotein T" "SELT;Selt" 14352.6231723996 17891.7385666426 14761.4976903741 14504.6196765256 15609.0424576313 15380.7912975418 17774.581819806 17536.8140604975 17159.9102602091 15609.0424576313 12604.25886157 15077.5249014805 14422.4909277223 16249.6851403596 15609.0424576313
81 "Q9NZM3;A0A087WVF7;E7EPJ2;F8W719" "Intersectin-2" "ITSN2" 66844.3828662317 94904.2881207619 74391.9763151421 79167.8481378675 75534.8681931256 70490.3591480852 93215.5992879537 77510.6915383358 80576.1798243951 75534.8681931256 98341.1670710954 98457.6497805685 73192.2502950465 83066.4436009054 75534.8681931256
83 "Q14517;A0A087WVP1;D6RCE4;H0Y9H4;H0Y9C8" "Protocadherin Fat 1;Protocadherin Fat 1, nuclear form" "FAT1" 338972.49796521 334072.039335268 346289.074163244 310258.026139541 346171.029839551 451177.675835223 352867.105010543 340907.32740342 334647.304027894 346171.029839551 329329.952094259 334870.42097278 344324.58582261 330885.175602337 346171.029839551
84 "A0A087WVP4;C9JP19;B5MCI0;C9JQZ8;A0A096LNK9;H7BZZ8" "" "SMTN" 79509.5219386281 80325.6588260316 75747.6702448901 76463.0038230609 69607.989006545 77155.9011972376 48614.16748024 79077.8137149824 65418.3367014769 69607.989006545 55479.4761191169 67384.2382102197 86385.2627179235 59326.2707169397 69607.989006545
85 "A0A087WVQ6;J3QL20;J3KS13;J3KSQ2;Q00610;J3KRF5" "Clathrin heavy chain;Clathrin heavy chain 1" "CLTC" 3782435.82072461 3736015.43171003 3640693.65197163 3781532.36534106 3723151.33515129 3729854.80358938 3679107.79970684 3651992.58503155 3758383.79542538 3723151.33515129 3686481.89225824 3722077.07551628 3786975.18849496 3707126.93414876 3723151.33515129
87 "Q5TH12;A0A087WVZ6;H7C4X9;A0A087WYS3;A0A087WV57" "" "ZMYND8" 3397.66264577102 5425.15573086125 5903.87845622576 4716.37562641017 4596.79561084246 3978.30647813537 4658.26327558066 5189.03359802062 4102.04007821988 4596.79561084246 6997.90782603546 5726.58163608831 6251.79215388861 2793.56760418266 4596.79561084246
90 "A0A2R8YF35;B4DGL8;A0A5F9ZA98;A0A087WW65;A0A2R8Y473;A0A590UJS8;O75027" "ATP-binding cassette sub-family B member 7, mitochondrial" "ABCB7" 50810.868948881 43772.715245591 43017.7515134893 42729.5810674895 39637.4237103674 37317.7052276055 37999.0269270066 39716.1029628187 42146.3290847024 39637.4237103674 39558.960828481 37736.7918396853 39039.2638649873 42377.0964914172 39637.4237103674
92 "A0A087WWA3;Q4R9M9;A0A0U1RQL3;O60333" "Kinesin-like protein;Kinesin-like protein KIF1B" "KIF1B;KIF1Bbeta" 58230.9205606754 56249.35671967 54651.1529277439 49469.4011306175 50908.9861346213 48337.9313325518 51338.5538951938 56195.7690620504 54177.0076778022 50908.9861346213 50533.9472073296 49379.7648180192 52849.2045614957 51358.772302838 50908.9861346213
96 "A0A087WWG1;C9JUG3;Q8TE77" "Protein phosphatase Slingshot homolog 3" "SSH3" 33950.0449090244 33977.9162669272 41037.8257402786 36417.8975236851 35798.4226991958 31583.9988696707 38469.8661950943 36402.7083753968 35646.2023107677 35798.4226991958 34431.1875143265 37923.4881604223 36373.1220442049 37710.4514944465 35798.4226991958
101 "A0A499FJY3;A0A494C001;A0A087WWP4;Q96T37" "Putative RNA-binding protein 15" "RBM15" 49701.9260863795 49426.588147898 47327.3313659213 44184.6741739323 44694.9116174416 44453.7549535869 42972.5581868354 44141.3340358926 40577.8458260702 44694.9116174416 48570.7044219344 45440.498134044 40778.6288815677 46648.6915525352 44694.9116174416
103 "Q96FV9;A0A087WWS1;R4GN58;A0A087WY84;R4GMN4;J3KRD7;J3QQZ3" "THO complex subunit 1" "THOC1" 83296.4409755812 91615.3964352764 80598.0475897015 79665.0322829939 77126.3174560322 74234.2127731043 78780.8870393334 78337.5073863597 67864.4258820547 77126.3174560322 76854.6229098592 81320.5059194754 73627.5094513436 83778.5566960981 77126.3174560322
113 "H7C2X4;H7C1Y7;C9J6X0;O95299;E7ESZ7;Q8N1B9;A0A087WXC5" "NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial" "NDUFA10" 215254.735655509 206180.210041035 215274.946419611 230611.213633815 221902.112435 211978.100568433 227554.393819578 226175.016386266 234273.556075895 221902.112435 233574.526142039 232793.073612322 216877.12220485 258929.28192809 221902.112435
115 "A0A087WUR8;A0A087WXE9;E9PQ70;Q6UXH9;E9PMN5" "Inactive serine protease PAMR1" "PAMR1" 16355.4287034684 16587.3664197904 29325.3064986966 35738.7880611086 35237.4574992175 31419.3723634397 44382.5059928946 41733.9392263571 45028.9633373484 35237.4574992175 36417.2005834564 33959.9468239861 35002.1126411032 39502.4901972074 35237.4574992175
119 "A0A0A0MRF8;A0A087WXM6;P18621;J3QLC8;J3KRX5;J3QS96;A0A087WY81;A0A087WWH0;J3QQT2;A0A0A6YYL6;J3KSJ0;J3KRB3" "60S ribosomal protein L17" "RPL17;RPL17-C18orf32;Rpl17" 686603.906762191 653151.867497987 644551.015852645 574117.891626269 624641.714657889 661525.966722585 642695.745033204 644264.338817535 560890.190652573 624641.714657889 636178.140658555 610123.600599583 605496.641273158 579109.382707594 624641.714657889
120 "D6R9Y5;A0A1B0GX90;Q96CB8;A0A087WXN4;E9PGI3;C9JDP3;D6R9W3" "Integrator complex subunit 12" "INTS12" 8743.82472044415 8287.68272735667 7996.85893849527 8670.29905023702 8268.15501619131 7452.80170657931 7017.23556049152 8234.73696394572 7138.01999240162 8268.15501619131 8089.83439485414 7187.82491679873 8459.46656959932 10324.6201509934 8268.15501619131
121 "Q765P7;A0A087WXN9;I3L2G4" "MTSS1-like protein" "MTSS1L" 43924.7737694757 43019.8740631591 38514.6285214181 40913.3576704071 46447.2712544354 51325.7917752176 48153.5062509781 44974.1671584531 39643.0541522192 46447.2712544354 46343.0006159429 53219.4361895565 48634.4992165059 46526.1065574029 46447.2712544354
122 "P18564;A0A087WXP3;E9PEE8" "Integrin beta;Integrin beta-6" "ITGB6" 30916.8198598549 30738.119437911 28242.1144551695 29877.8422174619 29054.1015248879 33024.1054338776 24844.6609667159 36871.7911309149 25898.1867217504 29054.1015248879 30139.2739072473 28272.6141322391 33701.7895622219 31883.0886749421 29054.1015248879
125 "A0A087WXZ7;K7ESP5;K7ELR8;K7EK31;K7EIX2;Q6AI08" "HEAT repeat-containing protein 6" "HEATR6" 22385.6888933196 22696.5512990678 22135.6371413325 19105.0425507029 22164.0924489859 21871.5471534558 23486.7297070307 22291.3428092019 18895.3841493952 22164.0924489859 21730.8111546385 21520.5393983571 20381.1455729786 22828.9254561798 22164.0924489859
126 "A0A087WY55;Q9NP79;Q5TGM0" "Vacuolar protein sorting-associated protein VTA1 homolog" "VTA1;Vta1" 207600.944047372 265259.21280468 273084.423653452 246314.2556412 242296.69431921 208586.02884501 252278.536915164 261217.538998212 250881.970338775 242296.69431921 199693.791798594 242551.822688048 261914.885850659 241143.109690816 242296.69431921
127 "P0CG29;Q6ICJ4;P0CG30;A0A087WY67" "Glutathione S-transferase theta-2B;Glutathione S-transferase theta-2" "Em:AP000351.3;GSTT2;GSTT2B" 69702.8239514917 75438.5423033584 84961.4357861449 85302.9796659181 81128.2422261232 67218.8569884599 76163.5256359532 80924.3239530896 110083.782851309 81128.2422261232 77650.6579109691 97484.2251614013 106365.90127509 80913.4837434374 81128.2422261232
129 "A0A087WY71;C9JGT8;H7C4C3;E9PFW3;C9JJD3;C9JPV8;C9JTK4;C9JJ47;Q96CW1" "AP-2 complex subunit mu" "AP2M1;Ap2m1" 456593.060684836 450290.705772309 470470.40870825 449013.003705462 468231.76123217 447369.375101399 445802.322755505 446564.427202793 462499.203852846 468231.76123217 474330.474517889 481561.269416667 487238.916109627 460947.280504321 468231.76123217
130 "A0A087WYF7;Q6UXV4" "MICOS complex subunit MIC27" "APOOL" 78150.6619942408 82078.8901975455 78068.9912638006 87563.1091884316 79011.433010992 73276.8102604883 78018.9251449155 76671.8017184724 83511.1963808133 79011.433010992 77457.7139481235 88288.2297623566 91220.3622223539 94538.9029861686 79011.433010992
132 "G3V4A5;A0A087WYL7;O75586" "Mediator of RNA polymerase II transcription subunit 6" "MED6" 10085.9719502376 12028.0912180664 8166.57854808736 7492.84443557515 9269.90161784395 9582.70573119367 8187.98989908969 10204.6408821005 7782.06135015346 9269.90161784395 12018.2625508721 10230.2846106061 8907.33347054383 10829.0428278431 9269.90161784395
135 "Q53FT3;A0A087WYW7;E9PPG8" "Protein Hikeshi" "C11orf73" 36433.1440577736 32665.7402759755 35211.1662001133 30650.3700029111 33438.9550410955 36950.8497097802 31089.4839965026 35205.9365518945 32615.0452922656 33438.9550410955 34097.4578202225 33590.5395456195 34725.0335955626 35029.1492322199 33438.9550410955
136 "K7EKR9;Q8IY67;K7EQG2;E9PAU2;A0A087WZ13" "Ribonucleoprotein PTB-binding 1" "RAVER1" 74756.9729583738 69195.6263639088 65462.990563082 63157.7515479856 63147.933626986 73795.1889489734 71958.0539382911 70659.9270660524 58768.2021163734 63147.933626986 58490.5944989722 54063.7215517996 48067.8290809157 60048.2123362184 63147.933626986
138 "A0A087WVC0;A0A087WZ62;H0YCW6;A0A087WZY8;A0A087WV58;A0A087WTZ3;A0A087WX16;Q9H6U8" "Alpha-1,2-mannosyltransferase ALG9" "ALG9" 16370.3236990246 15757.9189336662 14421.2322193487 17015.7207955417 14791.1547466392 16748.4358533047 13049.4448361395 16266.2774667654 11716.127323415 14791.1547466392 16055.0960418408 14726.9660412283 15303.0690240794 15320.9549412557 14791.1547466392
139 "A0A087WZK6;A0A087WZ97;A0A087X2C2;Q5T7M9" "Protein FAM69A" "FAM69A" 27745.4905898913 22329.9456044626 19734.8956794504 21083.1446855291 27119.957341308 25595.7963327774 25908.3095417762 25393.2548291225 27461.5075893747 27119.957341308 35610.3358759215 35204.3898340943 29347.95342971 22050.4490654121 27119.957341308
142 "A0A3B3IPE9;A0A087WZG4;A0A590UK10;M0QZS0" "" "ARHGEF18" 53520.5453129668 44293.1014789041 43627.9112332717 43973.6908003468 43778.9090447312 47449.6145557663 42120.5280192376 44819.7541940061 43397.3648342208 43778.9090447312 48274.6447858336 47883.1966806605 49783.1539225104 39581.6916669178 43778.9090447312
145 "A0A087X2E5;A0A0D9SG66;A0A087WZN1;O43837" "Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial" "IDH3B" 317665.197962097 293330.095552309 295343.252259177 328610.731661505 296357.495047308 283828.778712832 290221.316094471 281454.601423703 297301.101854937 296357.495047308 318003.732846555 304569.581389033 295574.212363975 327693.101224324 296357.495047308
151 "A0A087WZT3;A0A0B4J295;H3BVE0;H3BTW0" "" "" 41558.4790329385 50882.2308516534 53390.0961384527 47763.6965667291 45035.4951711107 35733.4254325226 39738.5444149577 46651.693812846 40463.995850816 45035.4951711107 38947.9620798793 45963.2049122368 53306.3836518162 43373.2678055407 45035.4951711107
152 "D6RFG4;A0A087WZV0;H0Y9M0;O43314;A0A087WWN8;H0Y9S9;K7ENU7" "Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2" "PPIP5K2;Ppip5k2" 143941.127797728 135886.751904865 137416.181885424 132692.338838044 133708.155565721 150441.398477193 129370.581781062 138394.269664436 124918.795932431 133708.155565721 138211.575271929 137885.936296795 140440.834625203 139121.950930414 133708.155565721
156 "A0A087X0H9;Q5T8P6" "RNA-binding protein 26" "RBM26" 45891.9630452735 38801.0820106249 38697.8187986389 40190.0794492774 40256.0689268784 43078.4872403759 43977.3269949051 42489.2317127598 30600.3583961257 40256.0689268784 48185.9210377747 38402.9177109965 36129.0175319649 38052.7756768862 40256.0689268784
159 "C9JC63;Q15070;J3KNA0;A0A087X0L7;E7EVY0" "Mitochondrial inner membrane protein OXA1L" "OXA1L" 115179.010085703 109872.68385361 99039.3220184738 98172.5350383833 105362.703027498 117552.90169923 102141.28378469 108087.238384546 97447.8044243748 105362.703027498 115418.79232686 102380.345608831 99500.1329132784 110318.749732398 105362.703027498
160 "Q9BWU0;A0A087X0M4;A0A087WWF4;H7C256" "Kanadaptin" "SLC4A1AP" 43041.1267612481 37761.4179673425 29520.2893214235 31481.7365096233 31107.000910265 36157.5270982117 28347.9615029698 31140.8221430271 23216.2992119982 31107.000910265 37135.4131978013 29008.9653177596 27466.0490410858 27159.1437728489 31107.000910265
162 "Q7Z739;A0A087WY31;A0A087X0Q1;S4R373;A0A087X0C3;A0A024R7W5" "YTH domain-containing family protein 3" "YTHDF3;Ythdf3" 213397.736137461 202073.248598348 210180.95371101 186582.933549146 205355.652586889 224180.143346783 199774.237052231 212028.718257195 193423.458136494 205355.652586889 200321.165596433 197549.408340371 193776.950013664 188711.238581196 205355.652586889
165 "A0A087X0R6;Q9UMY4" "Sorting nexin-12" "Snx12;SNX12" 153638.650658478 154303.042190823 164371.549795755 153426.832524783 149221.36770205 143670.974760942 147985.619019442 149942.450464031 144141.363827522 149221.36770205 147859.771539846 148951.105380131 145281.520582997 159185.933418199 149221.36770205
169 "A0A087X0V5;P29728;F8W1C5" "2-5-oligoadenylate synthase 2" "OAS2" 326961.402439004 324862.097291884 374009.829929105 700657.30078362 518580.030186969 411943.420940941 458508.371475913 439967.67103108 860975.282912798 518580.030186968 721934.899957253 633420.104288073 708203.587636244 494569.030244439 518580.030186969
171 "I3L0Q6;Q15155;H3BUC9;A0A0G2JN29;A0A087WW46;A0A0G2JP90;A0A087X117;H3BTW1" "Nodal modulator 1" "NOMO1" 701765.948032544 670572.101872035 665117.984632039 669941.508741626 690207.508980176 715573.975308594 706697.894945083 677867.711145464 697847.031034955 690207.508980176 722266.858007599 697020.50561373 675412.579545827 690568.828402034 690207.508980176
172 "E7EWM3;C9JDA5;Q8NF64;A0A087X127;F8WC48" "Zinc finger MIZ domain-containing protein 2" "ZMIZ2" 17743.9746164408 18430.3709166407 21045.6149788329 19976.5200164875 18290.963605881 20817.8044908248 19032.2674088313 20315.9300102589 23495.3399882564 18290.963605881 19374.3068969825 20111.2634355655 17969.6149556556 20236.228342062 18290.963605881
175 "A8MZD0;O60613;A0A087WXL0;A0A0J9YX89;A0A087X1G7" "15 kDa selenoprotein" "SEP15;Sep15" 24826.0595562339 29274.9444681345 32422.1229275325 35146.9640818937 32170.3403149762 24646.9540421301 31749.6385519457 35501.0257896765 35330.3158402905 32170.3403149762 27418.8836444131 28110.261193289 30499.4867789245 42157.5645429255 32170.3403149762
177 "H0Y3P5;P20929;H7C2Z5;H0Y786;H7C2D0;H7C2B3" "Nebulin" "NEB" 10715.0402576333 8897.75353581647 18597.7672850587 26575.7936788063 26052.1324955052 22586.6046979072 28159.3541924264 29753.5732972267 30721.0867091043 26052.1324955052 36774.7045499087 41912.9136655366 34086.3190695303 26054.6087723515 26052.1324955052
184 "H0YLD2;Q9UL46;H0YM70;H0YLG1;A0A087X1Z3;H0YKU2" "Proteasome activator complex subunit 2" "PSME2" 297710.71290478 397607.091019777 445077.81646774 653850.877771896 462661.028350246 363037.428870265 514787.909784674 532962.91595314 514522.5310264 462661.028350246 432150.993555478 515540.697953816 489094.359523605 541419.56370432 462661.028350246
185 "F8WAX6;A0A087X211;Q8TCG1" "Protein CIP2A" "KIAA1524" 34339.8776737648 30955.27476955 27789.1830197255 27378.2152703309 29513.0759939129 28874.3417861547 33639.7887954054 32913.676475956 27857.6624475184 29513.0759939129 27991.5823282302 24730.4518707526 24824.1120160727 22143.729796686 29513.0759939129
188 "F8VNZ5;A0A087X256;F8W1W1;Q2M389;F8VYH7" "WASH complex subunit 7" "KIAA1033" 502599.979356114 501360.796419534 553866.243259884 553488.631591028 505586.222194438 463802.176894203 486861.144403779 486946.385056567 544334.910882336 505586.222194438 490752.33228788 521026.383738614 520486.285725881 522935.088243689 505586.222194438
190 "E9PDU5;C9K020;A0A087X295;Q6PKC6;E5RFX3;F8WE36;E9PBK6;Q9NNW5" "WD repeat-containing protein 6" "WDR6" 23871.0046332328 23909.5436983548 24816.6090402561 31436.3700475304 25399.6981669697 26513.1593398336 25375.4713163772 22746.4827098068 24630.5039107002 25399.6981669697 23916.8269700576 26201.0819166622 25365.0642629693 32365.8774914199 25399.6981669697
191 "A0A0G2JMS5;Q9BRJ2;A0A087X2D5;A0A087WU62" "39S ribosomal protein L45, mitochondrial" "MRPL45" 148137.601295007 137449.279327577 136373.821442106 132766.907959947 129535.518573155 133269.303738739 134688.301498675 129455.915400654 131618.62326247 129535.518573155 144758.336101393 126976.425361052 119700.937973978 133439.617099372 129535.518573155
