Gene names,Gene names  (primary ),Status,Organism,Protein ID,Gene Names,Gene Names (primary),Reviewed
Asap1,Asap1,unreviewed,Rattus norvegicus (Rat),A0A0G2JZQ0,,,
,,unreviewed,Homo sapiens (Human),B3KTU7,,,
RRP1B;KIAA0179,RRP1B,reviewed,Homo sapiens (Human),Q14684,,,
LAMB2;LAMS,LAMB2,reviewed,Homo sapiens (Human),P55268,,,
Cd276;B7h3,Cd276,reviewed,Rattus norvegicus (Rat),Q7TPB4,,,
Soat1;rCG_46333,Soat1,unreviewed,Rattus norvegicus (Rat),G3V6J2,,,
HMGA1;HMGIY,HMGA1,reviewed,Homo sapiens (Human),P17096,,,
NMRAL1,NMRAL1,unreviewed,Homo sapiens (Human),I3L0Y6,,,
ACADM,ACADM,unreviewed,Homo sapiens (Human),E9PRX4,,,
NDUFAF7;C2orf56;PRO1853,NDUFAF7,reviewed,Homo sapiens (Human),Q7L592,,,
OPLAH,OPLAH,reviewed,Homo sapiens (Human),O14841,,,
ATL2,ATL2,unreviewed,Homo sapiens (Human),C9JC25,,,
Fstl1;Frp,Fstl1,reviewed,Rattus norvegicus (Rat),Q62632,,,
PDCD5,PDCD5,unreviewed,Homo sapiens (Human),Q3HM38,,,
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZHL9,,,
FLYWCH2,FLYWCH2,unreviewed,Homo sapiens (Human),I3L1Y9,,,
STK4;KRS2;MST1,STK4,reviewed,Homo sapiens (Human),Q13043,,,
NCK1,NCK1,unreviewed,Homo sapiens (Human),C9J869,,,
TMEM185B;FAM11B,TMEM185B,reviewed,Homo sapiens (Human),Q9H7F4,,,
RACK1,RACK1,unreviewed,Homo sapiens (Human),D6RFX4,,,
TMTC3,TMTC3,reviewed,Homo sapiens (Human),Q6ZXV5,,,
DARS2,DARS2,reviewed,Homo sapiens (Human),Q6PI48,,,
Gnl2,Gnl2,unreviewed,Rattus norvegicus (Rat),Q4KLJ3,,,
LRBA,LRBA,unreviewed,Homo sapiens (Human),A0A494BZW2,,,
NFIX,NFIX,unreviewed,Homo sapiens (Human),K7EJB0,,,
EPB41L2,EPB41L2,unreviewed,Homo sapiens (Human),E9PPC9,,,
HNRNPH1,HNRNPH1,unreviewed,Homo sapiens (Human),D6RIT2,,,
,,unreviewed,Homo sapiens (Human),A0A0B4J293,,,
LARP4,LARP4,unreviewed,Homo sapiens (Human),F8VNV1,,,
HNRNPC,HNRNPC,unreviewed,Homo sapiens (Human),G3V555,,,
H1-4;H1F4;HIST1H1E,H1-4,reviewed,Homo sapiens (Human),P10412,,,
TBCC,TBCC,reviewed,Homo sapiens (Human),Q15814,,,
ZC3H18,ZC3H18,unreviewed,Homo sapiens (Human),H3BP01,,,
HEXA,HEXA,unreviewed,Homo sapiens (Human),H3BU85,,,
BCS1L,BCS1L,unreviewed,Homo sapiens (Human),C9JAS4,,,
Arih1,Arih1,unreviewed,Rattus norvegicus (Rat),D3ZXL1,,,
GOSR2;GS27,GOSR2,reviewed,Homo sapiens (Human),O14653,,,
DCK,DCK,reviewed,Homo sapiens (Human),P27707,,,
LSM12,LSM12,reviewed,Homo sapiens (Human),Q3MHD2,,,
AMPD2,AMPD2,unreviewed,Homo sapiens (Human),E9PJF6,,,
C9orf64,C9orf64,reviewed,Homo sapiens (Human),Q5T6V5,,,
CCDC88A,CCDC88A,unreviewed,Homo sapiens (Human),A0A2R8Y4W8,,,
CAMK2D,CAMK2D,unreviewed,Homo sapiens (Human),E9PBG7,,,
Ubtf;Tcfubf;Ubf-1,Ubtf,reviewed,Rattus norvegicus (Rat),P25977,,,
FBXO6;FBG2;FBS2;FBX6,FBXO6,reviewed,Homo sapiens (Human),Q9NRD1,,,
Arhgef2,Arhgef2,unreviewed,Rattus norvegicus (Rat),A0A1B0GWW1,,,
Papss1,Papss1,unreviewed,Rattus norvegicus (Rat),A0A0G2K0L0,,,
FNTA,FNTA,unreviewed,Homo sapiens (Human),E9PQP6,,,
CLCC1;KIAA0761;MCLC,CLCC1,reviewed,Homo sapiens (Human),Q96S66,,,
REXO4,REXO4,unreviewed,Homo sapiens (Human),A0A0C4DG31,,,
TXNRD2,TXNRD2,unreviewed,Homo sapiens (Human),A0A0U1RQX0,,,
PNKP,PNKP,reviewed,Homo sapiens (Human),Q96T60,,,
ELP3,ELP3,unreviewed,Homo sapiens (Human),E5RIZ7,,,
PDCD6IP;AIP1;ALIX;KIAA1375,PDCD6IP,reviewed,Homo sapiens (Human),Q8WUM4,,,
Slu7,Slu7,reviewed,Rattus norvegicus (Rat),Q80ZG5,,,
GALK2,GALK2,unreviewed,Homo sapiens (Human),H0YLL3,,,
EPG5;KIAA1632,EPG5,reviewed,Homo sapiens (Human),Q9HCE0,,,
MSH6,MSH6,unreviewed,Homo sapiens (Human),A0A494C0M1,,,
RPL19;hCG_31402,RPL19,unreviewed,Homo sapiens (Human),J3KTE4,,,
EPHA2;ECK,EPHA2,reviewed,Homo sapiens (Human),P29317,,,
HLA-A,HLA-A,unreviewed,Homo sapiens (Human),A0A140T8Y4,,,
NUMB,NUMB,unreviewed,Homo sapiens (Human),G3V3R1,,,
TOMM40;C19orf1;PEREC1;TOM40,TOMM40,reviewed,Homo sapiens (Human),O96008,,,
AARSD1,AARSD1,reviewed,Homo sapiens (Human),Q9BTE6,,,
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZHE2,,,
RAB35,RAB35,unreviewed,Homo sapiens (Human),F5H157,,,
PON2;hCG_1640820,PON2,unreviewed,Homo sapiens (Human),A0A0J9YXF2,,,
DPM1,DPM1,unreviewed,Homo sapiens (Human),H0Y368,,,
IK,IK,unreviewed,Homo sapiens (Human),E7EQZ7,,,
EXOC6B;KIAA0919;SEC15B;SEC15L2,EXOC6B,reviewed,Homo sapiens (Human),Q9Y2D4,,,
LTA4H;LTA4,LTA4H,reviewed,Homo sapiens (Human),P09960,,,
PSD3,PSD3,unreviewed,Homo sapiens (Human),A0A087X1Z0,,,
MYL12B;MRLC2;MYLC2B,MYL12B,reviewed,Homo sapiens (Human),O14950,,,
Arpc5,Arpc5,unreviewed,Rattus norvegicus (Rat),A0A0G2K585,,,
CBX5,CBX5,unreviewed,Homo sapiens (Human),F8VNY3,,,
UBE2E1,UBE2E1,unreviewed,Homo sapiens (Human),C9J2P0,,,
MYO18A;CD245;KIAA0216;MYSPDZ,MYO18A,reviewed,Homo sapiens (Human),Q92614,,,
GPI,GPI,unreviewed,Homo sapiens (Human),K7EPY4,,,
PDCD5,PDCD5,unreviewed,Homo sapiens (Human),K7EQA1,,,
C1S,C1S,reviewed,Homo sapiens (Human),P09871,,,
PHGDH,PHGDH,unreviewed,Homo sapiens (Human),A0A286YFF3,,,
DNMT1,DNMT1,unreviewed,Homo sapiens (Human),K7ENW7,,,
SRSF7;SFRS7,SRSF7,reviewed,Homo sapiens (Human),Q16629,,,
SDSL,SDSL,reviewed,Homo sapiens (Human),Q96GA7,,,
TUBB3;hCG_1983504,TUBB3,unreviewed,Homo sapiens (Human),G3V2N6,,,
Vps33b,Vps33b,reviewed,Rattus norvegicus (Rat),Q63616,,,
GMPPA,GMPPA,unreviewed,Homo sapiens (Human),A0A087WUI8,,,
SUMF2,SUMF2,unreviewed,Homo sapiens (Human),F8WA42,,,
Atad1;Npg6,Atad1,reviewed,Rattus norvegicus (Rat),Q505J9,,,
MGST3,MGST3,reviewed,Homo sapiens (Human),O14880,,,
UBR1,UBR1,unreviewed,Homo sapiens (Human),A0A087WTJ9,,,
Wdr91,Wdr91,reviewed,Rattus norvegicus (Rat),B2RYI0,,,
HMGCLL1;hCG_2001183,HMGCLL1,unreviewed,Homo sapiens (Human),G5E9S9,,,
BABAM1,BABAM1,unreviewed,Homo sapiens (Human),M0R2I2,,,
ZC3HAV1,ZC3HAV1,unreviewed,Homo sapiens (Human),H7C5K1,,,
PRPS2,PRPS2,reviewed,Homo sapiens (Human),P11908,,,
AMDHD2,AMDHD2,unreviewed,Homo sapiens (Human),H3BT49,,,
CD9,CD9,unreviewed,Homo sapiens (Human),G8JLH6,,,
STXBP1,STXBP1,unreviewed,Homo sapiens (Human),A0A1B0GVV9,,,
CRYZL1,CRYZL1,unreviewed,Homo sapiens (Human),H7C3I5,,,
VDAC3,VDAC3,reviewed,Homo sapiens (Human),Q9Y277,,,
ABHD16A,ABHD16A,unreviewed,Homo sapiens (Human),A0A0G2JI89,,,
SIN3A,SIN3A,unreviewed,Homo sapiens (Human),H3BNZ3,,,
WDR36,WDR36,reviewed,Homo sapiens (Human),Q8NI36,,,
TOP2A;TOP2,TOP2A,reviewed,Homo sapiens (Human),P11388,,,
DIAPH2;DIA,DIAPH2,reviewed,Homo sapiens (Human),O60879,,,
MDH1,MDH1,unreviewed,Homo sapiens (Human),B9A041,,,
,,unreviewed,Homo sapiens (Human),A0A3B3IS24,,,
DCLK1;DCAMKL1;DCDC3A;KIAA0369,DCLK1,reviewed,Homo sapiens (Human),O15075,,,
Dpysl5;Ulip6,Dpysl5,reviewed,Rattus norvegicus (Rat),Q9JHU0,,,
HTT,HTT,unreviewed,Homo sapiens (Human),H0YA07,,,
GOSR2,GOSR2,unreviewed,Homo sapiens (Human),A0A1W2PPG5,,,
ABCE1;RLI;RNASEL1;RNASELI;RNS4I;OK/SW-cl.40,ABCE1,reviewed,Homo sapiens (Human),P61221,,,
ATP5F1A;ATP5A;ATP5A1;ATP5AL2;ATPM,ATP5F1A,reviewed,Homo sapiens (Human),P25705,,,
ATP6V0A2,ATP6V0A2,reviewed,Homo sapiens (Human),Q9Y487,,,
FABP5P3;FABP5L3,FABP5P3,reviewed,Homo sapiens (Human),A8MUU1,,,
SRGAP2,SRGAP2,unreviewed,Homo sapiens (Human),A0A075B7E6,,,
CSNK2A1;CK2A1,CSNK2A1,reviewed,Homo sapiens (Human),P68400,,,
,,,,J3QKP7,,,
MAFF,MAFF,unreviewed,Homo sapiens (Human),B0QY71,,,
LOC299282;LOC500712;Serpina3n,LOC299282,unreviewed,Rattus norvegicus (Rat),A0A0G2K9B1,,,
CLASP1,CLASP1,unreviewed,Homo sapiens (Human),F8WA11,,,
AP1G1,AP1G1,unreviewed,Homo sapiens (Human),H3BN75,,,
DCN,DCN,unreviewed,Homo sapiens (Human),H0YIH3,,,
SLC16A3,SLC16A3,unreviewed,Homo sapiens (Human),J3QRA0,,,
MAP2K3,MAP2K3,unreviewed,Homo sapiens (Human),E9PRZ0,,,
HACD3,HACD3,unreviewed,Homo sapiens (Human),H3BRL8,,,
CRNKL1;CRN;CGI-201;MSTP021,CRNKL1,reviewed,Homo sapiens (Human),Q9BZJ0,,,
TACC1,TACC1,unreviewed,Homo sapiens (Human),E5RJG6,,,
RBM6,RBM6,unreviewed,Homo sapiens (Human),F8WF63,,,
RRAGC,RRAGC,reviewed,Homo sapiens (Human),Q9HB90,,,
BLVRB,BLVRB,unreviewed,Homo sapiens (Human),A0A2R8YEP4,,,
UCHL3;hCG_29571,UCHL3,unreviewed,Homo sapiens (Human),A0A087WTB8,,,
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZI15,,,
,,,,G3V3V7,,,
RPS3A,RPS3A,unreviewed,Homo sapiens (Human),H0Y9Y4,,,
GNA13,GNA13,reviewed,Homo sapiens (Human),Q14344,,,
TPRG1L;FAM79A;MOVER,TPRG1L,reviewed,Homo sapiens (Human),Q5T0D9,,,
PTBP1,PTBP1,unreviewed,Homo sapiens (Human),K7EKJ7,,,
STK39;SPAK,STK39,reviewed,Homo sapiens (Human),Q9UEW8,,,
SASH1;KIAA0790;PEPE1,SASH1,reviewed,Homo sapiens (Human),O94885,,,
TCEA1;GTF2S;TFIIS,TCEA1,reviewed,Homo sapiens (Human),P23193,,,
RANBP1,RANBP1,unreviewed,Homo sapiens (Human),F6WQW2,,,
NAV1,NAV1,unreviewed,Homo sapiens (Human),A0A0A0MRJ3,,,
ATP6V0A1,ATP6V0A1,unreviewed,Homo sapiens (Human),B7Z641,,,
SCARB2,SCARB2,unreviewed,Homo sapiens (Human),A0A1W2PPX5,,,
CSNK2A3;CSNK2A1P,CSNK2A3,reviewed,Homo sapiens (Human),Q8NEV1,,,
CALCOCO2,CALCOCO2,unreviewed,Homo sapiens (Human),D6RF70,,,
Aldh1a3;Aldh6;Raldh3,Aldh1a3,reviewed,Rattus norvegicus (Rat),Q8K4D8,,,
ARHGEF1,ARHGEF1,unreviewed,Homo sapiens (Human),M0R2C7,,,
HDGFL3,HDGFL3,unreviewed,Homo sapiens (Human),H3BPM9,,,
AACS;ACSF1,AACS,reviewed,Homo sapiens (Human),Q86V21,,,
MFF,MFF,unreviewed,Homo sapiens (Human),E9PPW6,,,
ITGA3;MSK18,ITGA3,reviewed,Homo sapiens (Human),P26006,,,
AKT2,AKT2,unreviewed,Homo sapiens (Human),M0R0P9,,,
MYO9B,MYO9B,unreviewed,Homo sapiens (Human),M0R332,,,
UTP25;C1orf107;DEF;DIEXF,UTP25,reviewed,Homo sapiens (Human),Q68CQ4,,,
CHD1L,CHD1L,unreviewed,Homo sapiens (Human),A0A494C1F7,,,
EPN2,EPN2,unreviewed,Homo sapiens (Human),J3QLN2,,,
Rbms2,Rbms2,unreviewed,Rattus norvegicus (Rat),A0A0G2JYJ7,,,
BLOC1S1,BLOC1S1,unreviewed,Homo sapiens (Human),G8JLQ3,,,
TRIM5,TRIM5,unreviewed,Homo sapiens (Human),E7EQQ5,,,
FAM91A1,FAM91A1,unreviewed,Homo sapiens (Human),H0YBR6,,,
GPI,GPI,unreviewed,Homo sapiens (Human),K7ERC6,,,
Xpo4;Xpo4_predicted;rCG_23602,Xpo4,unreviewed,Rattus norvegicus (Rat),D3ZQI6,,,
ZMIZ2,ZMIZ2,unreviewed,Homo sapiens (Human),F8WC48,,,
OSGEP,OSGEP,unreviewed,Homo sapiens (Human),G3V445,,,
PTPA,PTPA,unreviewed,Homo sapiens (Human),B7ZBP9,,,
Tiprl,Tiprl,reviewed,Rattus norvegicus (Rat),A2VCX1,,,
Lsm14a,Lsm14a,unreviewed,Rattus norvegicus (Rat),B2GV58,,,
CEP55;C10orf3;URCC6,CEP55,reviewed,Homo sapiens (Human),Q53EZ4,,,
Gmppa,Gmppa,reviewed,Rattus norvegicus (Rat),Q5XIC1,,,
DCK,DCK,unreviewed,Homo sapiens (Human),D6RG38,,,
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A0A6YY92,,,
FAM120A;C9orf10;KIAA0183;OSSA,FAM120A,reviewed,Homo sapiens (Human),Q9NZB2,,,
HMGN1,HMGN1,unreviewed,Homo sapiens (Human),A6NEL0,,,
MYO1B,MYO1B,unreviewed,Homo sapiens (Human),H7C2Y7,,,
CYP1B1,CYP1B1,unreviewed,Homo sapiens (Human),A0A087WUQ7,,,
PIGG,PIGG,unreviewed,Homo sapiens (Human),D6RFE8,,,
SMTN,SMTN,unreviewed,Homo sapiens (Human),A0A087WVP4,,,
ACTR3,ACTR3,unreviewed,Homo sapiens (Human),F8WEW2,,,
UQCRFS1,UQCRFS1,reviewed,Homo sapiens (Human),P47985,,,
TBC1D8B,TBC1D8B,unreviewed,Homo sapiens (Human),J3KN75,,,
Ttl,Ttl,reviewed,Rattus norvegicus (Rat),Q9QXJ0,,,
UBXN4,UBXN4,unreviewed,Homo sapiens (Human),F8WB86,,,
,,unreviewed,Homo sapiens (Human),B4DK25,,,
HDAC7,HDAC7,unreviewed,Homo sapiens (Human),C9JNI4,,,
TP53I11,TP53I11,unreviewed,Homo sapiens (Human),E9PS55,,,
Pcnp,Pcnp,unreviewed,Rattus norvegicus (Rat),A0A0H2UHW4,,,
RBM6,RBM6,unreviewed,Homo sapiens (Human),C9JSL1,,,
Sqor;Sqrdl;rCG_26654,Sqor,unreviewed,Rattus norvegicus (Rat),B0BMT9,,,
SDCBP,SDCBP,unreviewed,Homo sapiens (Human),B4DHN5,,,
COTL1,COTL1,unreviewed,Homo sapiens (Human),H3BT58,,,
RIN1,RIN1,unreviewed,Homo sapiens (Human),E9PNR2,,,
ANXA3;ANX3,ANXA3,reviewed,Homo sapiens (Human),P12429,,,
ATP6V1D,ATP6V1D,unreviewed,Homo sapiens (Human),H0YJ55,,,
ARHGAP1;CDC42GAP;RHOGAP1,ARHGAP1,reviewed,Homo sapiens (Human),Q07960,,,
LAMA4,LAMA4,unreviewed,Homo sapiens (Human),E5RHF3,,,
CORO7,CORO7,unreviewed,Homo sapiens (Human),I3NI06,,,
SMAD4,SMAD4,unreviewed,Homo sapiens (Human),K7ES96,,,
MCM4,MCM4,unreviewed,Homo sapiens (Human),A0A3B3ISC1,,,
RER1;hCG_24604,RER1,unreviewed,Homo sapiens (Human),Q5T091,,,
SMARCA2;BAF190B;BRM;SNF2A;SNF2L2,SMARCA2,reviewed,Homo sapiens (Human),P51531,,,
SETDB1,SETDB1,unreviewed,Homo sapiens (Human),E9PQM8,,,
WLS,WLS,unreviewed,Homo sapiens (Human),E9PQK1,,,
NUP205,NUP205,unreviewed,Homo sapiens (Human),U3KPX2,,,
USP48,USP48,unreviewed,Homo sapiens (Human),E9PJH5,,,
TUBA3D,TUBA3D,reviewed,Homo sapiens (Human),P0DPH8,,,
SYNM,SYNM,unreviewed,Homo sapiens (Human),C9JIE4,,,
P3h3;Leprel2;Leprel2_predicted;rCG_29644,P3h3,unreviewed,Rattus norvegicus (Rat),B5DFB0,,,
LOC103690796,LOC103690796,unreviewed,Rattus norvegicus (Rat),M0RBD4,,,
THOC1,THOC1,unreviewed,Homo sapiens (Human),A0A087WWS1,,,
PNPLA6,PNPLA6,unreviewed,Homo sapiens (Human),A0A384DVU0,,,
EIF3K,EIF3K,unreviewed,Homo sapiens (Human),K7ES31,,,
DLG1,DLG1,unreviewed,Homo sapiens (Human),A8MUT6,,,
SIRT2,SIRT2,unreviewed,Homo sapiens (Human),F8WF57,,,
MICAL1,MICAL1,unreviewed,Homo sapiens (Human),Q5TED7,,,
TMEM222;C1orf160;hCG_96585,TMEM222,unreviewed,Homo sapiens (Human),H0Y861,,,
NSDHL,NSDHL,unreviewed,Homo sapiens (Human),C9JDR0,,,
TYMP,TYMP,unreviewed,Homo sapiens (Human),A0A494C1L9,,,
RHOC,RHOC,unreviewed,Homo sapiens (Human),Q5JR08,,,
GNA14,GNA14,reviewed,Homo sapiens (Human),O95837,,,
AKAP9,AKAP9,unreviewed,Homo sapiens (Human),H7BYL6,,,
CCDC25,CCDC25,reviewed,Homo sapiens (Human),Q86WR0,,,
FARP2,FARP2,unreviewed,Homo sapiens (Human),C9JWM9,,,
CLN6,CLN6,unreviewed,Homo sapiens (Human),H3BTY4,,,
HAT1,HAT1,unreviewed,Homo sapiens (Human),F8WEW1,,,
DNMT1;AIM;CXXC9;DNMT,DNMT1,reviewed,Homo sapiens (Human),P26358,,,
Ap1s2,Ap1s2,unreviewed,Rattus norvegicus (Rat),A0A0G2JXX9,,,
AQR;KIAA0560,AQR,reviewed,Homo sapiens (Human),O60306,,,
ERGIC2,ERGIC2,unreviewed,Homo sapiens (Human),A0A087WU02,,,
PHGDH;PGDH3,PHGDH,reviewed,Homo sapiens (Human),O43175,,,
Gpr180,Gpr180,unreviewed,Rattus norvegicus (Rat),A0A096MKB1,,,
Rab31,Rab31,unreviewed,Rattus norvegicus (Rat),A0A0G2JSZ1,,,
SEC13;D3S1231E;SEC13A;SEC13L1;SEC13R,SEC13,reviewed,Homo sapiens (Human),P55735,,,
TSPAN6;TM4SF6;UNQ767/PRO1560,TSPAN6,reviewed,Homo sapiens (Human),O43657,,,
GALM,GALM,unreviewed,Homo sapiens (Human),H7C1B5,,,
Nfkb1,Nfkb1,unreviewed,Rattus norvegicus (Rat),F1LQH2,,,
CKAP5;KIAA0097,CKAP5,reviewed,Homo sapiens (Human),Q14008,,,
